#Xing*2025 /1570(750) похожих слов-A2/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова почти похожи, интернац, сленг, новояз - можно запомнить по микро ФА)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abnormal [Эб'нормэл][Эб'но:мэл]|аномальный,ненормальный|аб=не % / abnormal эбнормэл / (аб=не) *неНОРМАЛьный *аномальный|
 medicate [меди,кеит]|лечить,лечить-лекарствами||
 medication [медэ'кеишэн][меди'кеишэн]|медикамент,мед.лечение|medicine мкдэсэн медицине / МЕДИЦИНа продвинулась в *лекарствах (но ты до этого не дожил) / МЕДИКаменты это *лекарства, а *МЕДИЦИНА это *магия (medication медикейшен лечение)|
meditation [медэ'теишэн][меди'теишэн]|медитация,размышление,созерцание|медитация|
 meditate [медэ,теит][медитеит]|медитировать,обдумывать,созерцать|meditate медитейт медитате / *обдумывать и *созерцать при МЕДИТАЦии|
memory [мемэри]|память|мемориал / memory мемэри мемори / МЕМОРИал открыли для *памяти погибших зазря / remember римембер ремембер / *помнить (memory мемэри память)(member мембэр член)|
 memoirs [мем,Варз][мемВа:з]|мемуары|%|
 memorize [мемэр,аиз]|запоминать,выучить-наизусть||
 memorable [мемэрэбэл][мемэрэбл]|запоминающийся,памятный||
 memories [мемэриз]|воспоминания|memories мемэриз мемориес / *воспоминания в МЕМУАРах|
mental [ментэл][ментл]|умственный|ментальный / mental ментэл ментад / *умственный и МЕНТАЛьный|
 mentality [мен'тЭлэти][мен'тЭлити]|менталитет,склад-ума|менталитет|
military [милэ,тери][мили,тери][милитэри]|военный|милитарист / military милитери милитари / МИЛИТАРИсты все *военные вояки|
 militant [милэтэнт][милитэнт]|воинственный,воинствующий,боевой||
mill [мил]|фабрика,мельница|% / mill мил / (замена и-е) *МЕЛьница (начало похоже)|
 miller [милэр][милэ]|мельник|миллеры возили наркоту с фальшивой семьей|
 windmill [Винд,мил][Винмил]|ветряная-мельница||
millennium [мэ'лениэм][ми'лениэм]|тысячелетие|милениум|
mimic [мимик]|имитировать,передразнивать,копировать|мимика|
mine [маин]|мой,мина / 2,шахта,рудник|мина% майна / craft крафт / варКРАФТ это война(war) + *ремесло, а майнКРАФТ это шахта(mine) + *ремесло / mine маин мине / (убрали н) *МОЙ (похоже) / в *руднике МИНЫ / МАЙНа! - дали команду в *шахте ядерной ракеты, все замерли в ужасе и попрятались под кроватями.. / *МИНА *МИНИровать|
 miner [маинэр][маинэ]|шахтер|майнер|
mini-van [мини-вЭн]|мини-фургон,минивэн|%|
 van [вЭн]|фургон|ВАНя у нас *один(one Ван) ездит в фургоне(van вэн) миниВЭН / миниВЭН - мини *фургон(van вэн) / van вэн ван / миниВЭН это мини *фургон |
mix-up [микс-эп][миксАп]|перепутать|миксер смешивает / mix микс / МИКСер *перемешивает (mix-up миксэп *перепутывает)|
mixture [миксчэр][миксчэ]|смесь|микстура / mixture миксчер микстуре / МИКСТУРа это *смесь|
mob [маб][моб]|толпа,толпа(неуправляемая)|флэш-моб / ФЛЭШмоб - *вспышка(flash флэш) + *толпа(mob моб мафия) / mob моб / *толпа-неуправляемая это МОБики МОБилизованые зомби / флэшМОБ это вспышка(флэш) и толпа(моб)|
mode [моуд][мэуд]|режим,способ,вид|мода / mode моуд моде / *МОДА *метод *способ *средство *образ *конструкция *очертание *форма *обычай *привычка *режим (fashion фэншн фасон мода)|
moderate [мадэр,еит][мадэрэт][модэрит]|умеренный,средний|модератор / moderate модэрейт модерате / *умеренный и *средний был МОДЕРАТор, удалял мат и банил хулиганов|
 immoderate [и'модэрит]|неумеренный||
 moderation [мадэр'еишэн][модэ'реишэн]|модерация,умеренность|модерация|
modest [мадэст][модист]|скромный,умеренный|модест из городка / modest модэст модест / МОДЕСТ из городка был *скромным придурком / *скромная МОДИСТка носила только последний крик МОДЫ|
 immodest [и'модист]|нескромный||
 modesty [мадэсти][модисти]|скромность||
 immodesty [и'модисти]|нескромность||
modification [мадэфэ'кеишэн][модифи'кеишэн]|модификация,видоизменение|модификация|
 modify [мадэ,фаи][модифаи]|изменить,видоизменять|modify модифай модифи / *видоизменять и МОДИФИцировать|
monastery [манэ,стери][монэстэри]|монастырь|%%|
monetary [манэ,тери][мАнитэри]|валютный,денежный|монетарный / monetary манитери монетари / *валютный *денежный значит МОНЕТАРный|
mortal [мортэл][мо:тл]|смертельный,смертный|мортал комбат / mortal мортэл мортал / *сМЕРТЕЛьный (частично похоже) / МОРТАЛ комбат - *смертельная битва|
 mortality [мор'тЭлэти][мо:'тЭлити]|смертность||
 immortal [и'мортэл][и'мо:тл]|бессмертный||
 immortality [имор'тЭлити][имо:'тЭлити]|бессмертие||
mosquito [мэ'скитоу][мэс'ки:тэу]|комар|москитная сетка / mosquito мэскитоу москуито / МОСКИТная сетка от *комаров|
motion [моушэн][мэушэн]|движение|локомотив / motion моушэн мотион / локоМОТИв в *движении (move мув двигаться) / МОТай отсюда и уМАТывай = *движение|
 motionless [моушэнлэс][мэушэнлис]|неподвижный||
murder [мэрдэр][мэ:дэ]|убийство,убивать|мародер из мордера / murder мэрдэр мурдер / *убили МАРоДЁРа из МОРДЕРа с отвратительной МОРДой, туда ему и дорога|
 murderer [мэрдэрэр][мэ:дэрэ]|убийца||
 murderous [мэрдэрэс][мэ:дэрэс]|убийственный||
muscle [мэсэл][мАсл]|мышца|мускулы к-немая / muscle масл мускле / *мышцы и *МУСКуЛы / маслы (сленг)(masculine мэскьэлэн мужское)|
 muscular [мэскьэлэр][мАскьюлэ]|мускулистый,мышечный|мускулатура|
muslim [мэзлим][муслим]|мусульманин,мусульманский|муслим|
nanny [нЭни]|няня|а=я % нёрс|
nasty [нЭсти][на:сти]|противный|ненастье / НАСТЯ хочет аленький цветочек от *отвратительного чудища (nasty насти) / *мерзкое *скверное неНАСТье / nasty насти / неНАСТЬЕ это *отвратительная и *мерзкая *противная погода / *противное чудище подарило НАСТЕ аленький цветочек|
native [неитив]|местный,туземный / 2,родной|нативный национальный / native неитив нативе / НАТИВный это *родной *местный / *природный|
natural [нЭчэрэл][нЭчрэл]|естественный|натуральный / natural нэчэрэл натурал / *естественный значит НАТУРАЛьный (naturally нэчрэли естественно)|
 unnatural [эн'нЭчэрэл][Ан'нЭчрэл]|неестественный||
 supernatural [супэр'нЭчэрэл][сью:пэ'нЭчрэл]|сверхъестественное||
navigate [нЭвэ,геит][нЭвигеит]|перемещаться,ориентироваться,ходить-по-курсу|навигатор / navigate нэвигейт навигате / *ориентироваться и *ходить-по-курсу по НАВИГАТору|
 navy [неиви]|военно-морской,военно-морской-флот|навигация / navy нейви нави / *военно-морской *флот открыл НАВИгацию|
 naval [неивэл]|военно-морской||
nominate [намэ,неит][намэнэт][номинеит]|выдвигать,номинировать|%|
 nomination [намэ'неишэн][номи'неишэн]|номинация,выдвижение||
 nominee [намэ'ни][номи'ни:]|кандидат||
none [нэн][нАн]|никто,никакой,ни-один|% / none нан ноне / *никто *ничто *никакой (no-нет, not-не)(nine найн девять)|
north [норС][но:С]|север,северный|нос-замерз норд-ост в компасе / north норС норТХ / НОс мёРЗ на *севере в НОРвегии на *Севере / НОРд ост в компасе|
 northern [норЗэрн][но:Зэн]|северный|норвегия|
 northerner [норЗэрнэр][но:Зэнэ]|северянин||
 northward [норСВэрд][но:СВэд]|на-север||
nose-around [ноуз-эр'аун][эр'аунд][нэузэ'раунд]|нос-вокруг,рыскать,вынюхивать|нос+вокруг|
nostril [настрил][нострил]|ноздря|-л %% / nostril нострил / (л убрали) *ноздри (похоже)|
note [ноут][нэут]|примечание,заметка,запись|блокнот / БЛОКнот - записная книжка *группа(block блок колода) + *заметка(note ноут *запись *отметить) / НОУТбук - *заметка(note ноут запись отметить) + *книга(book бук) / note ноут ноте / *заметку *запись *отметить в блокНОТЕ и НОУТбуке (бук-книга) / notice ноутэс нотисе / мы *заметили НАУТИлус и Стельнули из гарпуна.. (note-заметка) / notify ноутифаи / *объявлять (note ноут заметка)|
 notable [ноутэбэл][нэутэбл]|заметный,примечательный||
 footnote [фут,ноут][футнэут]|сноска||
 notice [ноутэс][ноутис][нэутис]|уведомление,заметить|наутилус / notice ноутэс нотисе / мы *заметили НАУТИлус и Стельнули из гарпуна.. (note-заметка)|
 unnoticed [эн'ноутист][Ан'нэутист]|незамеченный||
 notify [ноутэ,фаи][нэутифаи]|уведомить,известить|notify ноутифаи / *объявлять (note ноут заметка)|
 notification [ноутэфэ'кеишэн][нэутифи'кеишэн]|уведомление||
 notion [ноушэн][нэушэн]|понятие,представление|нотация / notion ноушэн нотион / есть *идея как Найти 12 друзей ОУШЕНа в океане(ocean оушен) / *понятие *намерение|
nude [нуд][нью:д]|обнаженная,обнаженный|нудист / nude нуд нуде / *обнаженный НУДист НУДит и НУДит про лапшу(noodle нудэл)|
 nudity [нудити][нью:дити]|нагота||
numeric [ну'мерик]|числовой,цифровой|(=numerical) / номерной|
 numerous [нумэрэс][нью:мэрэс]|многочисленные|numerous нумэрэс нумероус / *многочисленная очередь за хлебом проНУМЕРОВАна|
occasion [э'кеижэн]|случай,событие|оказия / occasion экейжэн оккасион / ОКАЗИЯ т.е тяжёлый *случай / *повод *событие|
 occasional [э'кеижэнэл][э'кеижэнл]|случайный|occasional экеижэнэл оккасионал / *случайно с ОККАЗИей передал не то и не туда / *беспорядочный|
occupy [акьэ,паи][окьюпаи]|занимать|окупировать / occupy окьюпай оккупи / *занимать территории значит *ОККУПИровать / ОККУПАнты *занимают территорию и грабят|
 occupation [акьэ'пеишэн][окью'пеишэн]|занятие,профессия,род-деятельности|окупация / occupation окьюпейшен оккупатион / при ОККУПАЦИИ лучшая *профессия *род-деятельности *род-занятий быть полицаем|
opposition [апэ'зишэн][опэ'зишэн]|оппозиция,противостояние|опозиция|
 opposite [апэзэт][апзэт][опэзит]|противоположный|opposite опэзит оппосите / *напротив бастует ОППОЗИЦия, беги оттуда / ОППОЗИция имееТ *противоположное мнение|
 oppose [э'поуз][э'пэуз]|выступать-против,противостоять|oppose эроуз оппосе / ОППОЗиция *против и *противостоит власти|
option [апшэн][опшэн]|вариант,выбор|опция / option опшен оптион / *выбор ОПТИмальной *ОПЦИИ / *вариант|
 optional [апшэнэл][опшэнэл][опшэнл]|необязательный|опциональный|
oral [о:рэл]|оральный,устный,ротовой|оральный, оратор орал / oral орэл орал / *ротовой это ОРАЛьный / ОРАтор ОРАЛ как резаный что *устно решит эту задачу|
order [ордэр][о:дэ]|заказ,заказывать / 2,порядок,упорядочивать / 3,приказ|ордер / order ордэр ордер / выдали ОРДЕР для наведения *порядка и наказания невиновных и *заказали ОРДЕна для награждения непричастных / получив ОРДЕР на восстановление *порядка, я утоплю в крови весь мир! -ой, а может не надо?|
 reorder [ри'ордэр][ри:'о:дэ]|переупорядочить||
 disorder [ди'сордэр][дис'о:дэ]|беспорядок,расстройство||
ordinary [ордэ,нери][о:днри]|обычный|ординарный / ordinary ордэнери ординари / ОРДИНАРный *обычный *обыкновенный *посредственный врач в ординаторской вырезал тебе гланды по ошибке|
original [эр'иджэнэл][э'риджэнл]|оригинальный,первоначальный,первоисточник|оригинал / original оридженэл оригинал / *ОРИГИНАЛьный *ОРИГИНАЛ это *первоначальный *первоисточник|
 originally [эр'иджэнэли][эр'иджнэли][э'риджинэли]|изначально||
 origin [орэджэн][ориджин]|источник,происхождение,начало|origin ориджин оригин / *происхождение ОРИГИНальное у ДЖИНа из лампы, он там родился!|
 originate [эр'иджэ,неит][э'риджинеит]|возникать,происходить||
ounce [аунс]|унция|%%|
 oz [аз][оз]|унция|(сокр.) из страны оз|
oxygen [аксиджэн][оксиджэн]|кислород|оксид|
oyster [оистэр][оистэ]|устрица|%% / oyster оистэр / *УСТРица (немного похоже)|
pack [пЭк]|пакет,пачка,связка,колода / 2,упаковывать,собирать|упаковка / pack пэк пайк / *ПАКет *пачка *кипа *связка *снаряжение *ПАКовать|
 package [пЭкэдж][пЭкидж]|упаковка,пакет|% / package пэкидж пацкаге / *ПАКет *сверток *пачка *упаковка *контейнер *складывать|
 unpack [эн'пЭк][Ан'пЭк]|распаковать,распаковывать|%|
 pack-up [пЭк-Ап]|упаковаться,собраться||
pair [пер][пеэ]|пара|перчаток % / pair пер, пеэ паир / *ПАРа ПЕРчаток (почти похоже) / pear пер, пеэ пеар / ПИАР *груш и ПИР на весь мир с *грушами (pair пер пара) / repair рипер пепаир / = пеРЕ + пара(pair) / на РЕПАРации сделал отличный *ремонт дворца|
 paired [перд][пеэд]|парный||
paper [пеипэр][пеипэ]|бумага,документ|папирус / paper пейпер папер / ПАПИРосы и древний ПАПИРус из *бумаги сделаны|
 wallpapers [Вол,пеипэрз][Во:л,пеипэз]|обои||
 paperwork [пеипэр,Вэрк][пеипэ,Вэ:к]|оформление-документов,оформление-бумаг||
paragraph [пЭрэ,грЭф][перэ,грЭф][пЭрэгра:ф]|абзац,пункт|а не параграф / paragraph пэрэгрэф параграПХ / ПАРАГРАФ это *абзац, а параграф это section-mark, то есть знак раздела|
parcel [парсэл][па:сл]|посылка|%% / parcel паРсэл парсел / *ПОСЫЛка *сверток|
pardon [пардэн][па:дн]|прощать,извинять,извинение|пардон|
 unpardonable [Ан'па:днэбл]|непростительный|беспардонный|
patient [пеишэнт]|пациент,терпеливый|пациент запарился уже ждать / patient пейшент патиент / *терпеливый *ПАЦИЕНТ запарился уже ждать (patiently пеишэнтли терпеливо)|
 patience [пеишэнс]|терпение||
 impatient [им'пеишэнт]|нетерпеливый|импотент слушал виагру / impatient импеишэнт импатиент / (im=не) *нетерпеливый ПАЦИЕНТ был импотент и слушал виагру|
patrol [пэ'троул][пэ'трэул]|патруль|о=у %%|
patron [пеитрэн]|покровитель|патрон / patron пейтрэн патрон / *покровитель был ПАТРОН(шеф) с патронами|
 patronize [пеитрэ,наиз][пЭтрэнаиз]|покровительствовать||
pattern [пЭтэрн][пЭтэн]|шаблон,образец|паттерн / pattern пэтэрн паттерн / ПАТТЕРНы в программировании это *модель разработки / *шаблон *образец *эталон|
pause [по:з]|пауза,приостанавливать|пауза поз! / pause поз паусе / *приостанавливать и *сделать-ПАУЗу, а звучит ПОЗ! / ПОЗдно *паузу делать|
peel [пи:л]|чистить,кожура,очищать|эпиляция пилинг / peel пил пеел / ПИЛинг *снимает *кожицу, а эПИЛяция *очищает *кожу от волос / pill пил / ПИЛ *таблетку и ПИЛюлю от жадности и хочет ещё ещё (peel-кожица пилинг)|
penalty [пенэлти][пенлти]|штраф,наказание|пенальти-футбол / penalty пенэлти пеналти / ПЕНАЛЬТИ это *наказание и *штрафной удар в футболе (penal пинл уголовный карательный)|
personnel [пэрсэ'нел][пэ:сэ'нел]|личный-состав,персонал|%|
pest [пест]|паразит,вредитель|пестицид против / pest пест / ПЕСТицид это средство от *паразитов|
pet [пет]|домашний-питомец|питомец в питомнике,  питон питался в яме питомцами / pet пет / *погладил *домашнего-ПИТомца в ПИТомнике / pit пит / сПИТ в *яме покойник вечным сном / ПИТон в *яме ПИТается домашними ПИТомцами(pet) / *впадина *шахта *карьер|
pier [пир][пиэ]|пристань,пирс|+с %%|
pierce [пирс][пиэс]|пронзить,проколоть|пирсинг / pierce пирс, пиэс пиерсе / для ПИРСинга надо *проколоть нос / *пронзать *протыкать *просверливать|
 piercing [пирсиН][пиэсиН]|пирсинг,пронзительный|крик когда прокалывал пирсинг|
pill [пил]|таблетка,пилюля|% от жадности / pill пил / ПИЛ *таблетку и ПИЛюлю от жадности и хочет ещё ещё (peel-кожица пилинг)|
plane [плеин]|самолет,самолёт|планер / plane плейн плане / аэроПЛАН это древний *самолёт / ПЛАНЕр это *самолет ПЛАНировал на *плоскость|
 airplane [ер,плеин][еэплеин]|самолет|аэроплан / airplane ерплеин аирплане / *самолет это древний АЭРОПЛАН этажерка|
plank [плЭНк]|доска,планка|% / plank плэнк планк / ПЛАНКа это маленькая *доска|
plantation [плЭн'теишэн]|насаждения,плантация|%|
 plant [плЭнт][пла:нт]|завод,производство / 2,растение,сажать|на плантации / plant плэнт плант / ПЛАНТация странных *растений возле *завода удобрений / *сажать *производство (plant-flowers плант-флаверс сажают-цветы)|
 planting [плЭнтиН][пла:нтиН]|посадка||
plate [плеит]|тарелка,пластина,плита|% тарелка / plate плейт плате / *тарелка плоская как ПЛАТО, только круглая (диш-тарелка)|
 platter [плЭтэр][плЭтэ]|блюдо,большое-блюдо||
playground [плеи,граунд]|детская-площадка|игра+земля|
please [пли:з]|пожалуйста,радовать|пожалуйста / please плиз плеасе / *ПожаЛуЙСта *получать-удовольствие (pleasant плезэнт приятно)|
 pleasure [плежэр][плежэ]|удовольствие,наслаждение|на пляже / pleasure плежэР плеасуре / *удовольствие на ПЛЯЖЕ Речки г-течки|
 displeasure [дис'плежэр][дис'плежэ]|недовольство,неудовольствие||
plural [плурэл][плуэрэл]|множественное-число|плюрализм мнений / plural плурэл плурал / ПЛЮРАЛизм мнений это *много мнений / *множественное-число|
 plurality [плэр'Элити][плуэ'рЭлити]|множество,множественность||
pole [поул][пэул]|полюс / 2,шест,столб|на *полюсе воткнули / pole поул поле / на *ПОЛюсе воткнули *шест с флагом - мы первые!|
policy [палэси][полиси]|курс,политика|с=т % не полис не полиция / policy полэси полици / (замена ц-т) *ПОЛИТИка (похоже частично)(political пэлитикэл политический)|
polish [палиш][поулиш][полиш]|шлифовать,полировать|ш=р %% / polish полиш / *глянец *ПОЛИровать|
pope [поуп][пэуп]|Папа-Римский,папа-римский|%% поп|
 papal [пеипэл]|папский||
population [папьэ'леишэн][попью'леишэн]|население|популяция|
 populate [папьэ,леит][попьюлеит]|заселять,населять||
portable [портэбэл][по:тэбл]|переносной,портативный|%% / portable поРтэбэл портабле / ПОрт БЫЛ *разборный, а мы его распилили / *ПОРТативный|
practice [прЭктэс][прЭктис]|упражняться,практика,практиковать|% / practice прэктис практице / *ПРАКТИка *тренировка (practise прэктис практиковать заниматься)|
prairie [прери][преэри]|степь,прерия|%|
precise [при'саис][при'саиз]|точный|прецизионный / precise присайс прецисе / *точный и ПРЕЦИЗионный станок (precisely присаисли точно)|
 precision [при'сижэн]|точность||
 imprecise [импрэ,саис][импри'саис]|неточный||
 imprecision [импрекисион]|неточность||
prepare [при'пер][при'пеэ]|подготовить,приготовить|препарат / prepare припер препаре / *подготовить и *приготовить ПРЕПАРат к ПРЕПАРации лягушки (preparation препэреишэн подготовка)|
 preparation [препэр'еишэн][препэ'реишэн]|подготовка|к препарации лягушки / prepare припер препаре / *подготовить и *приготовить ПРЕПАРат к ПРЕПАРации лягушки (preparation препэреишэн подготовка)|
 unprepared [энпри'перд][Анпри'пеэд]|неподготовленный||
present [презэнт][при'зент][презнт]|подарок,настоящее(время) / 2,присутствующий,в-наличии|презентация подарок / present презэнт пресент / ПРЕЗЕНТация в *настоящее время это *подарок (gift гифт *подарок) / *присутствовать на ПРЕЗЕНТации / present-with презэнтвиз *дарить ПРЕЗЕНТы / represent репризент репресент / *изображать великого стРатЕга на ПРЕЗИНТации атомной бомбы и *означать настоящий-подарок(present)(representative представитель делегат)|
 presently [презэнтли][презнтли]|в-настоящее-время||
 presence [презэнс][презнс]|присутствие||
preserve [прэ'зэрв][при'зэрв][при'зэ:в]|сохранять,беречь|пресервы / preserve прэзэрв пресерве / ПРЕСЕРВы надо *беречь *оберегать *заготовлять-впрок и *консервировать (ПРЕСЕРВы сохраняют рыбу месяц в капроновой банке, а консервы-can-кэн в жестянке год)|
 preservation [презэр'веишэн][презэ:'веишэн]|сохранение||
press [прес]|нажимать|пресс нажимает / compress компрес / КОМПРЕСсор *сжимает и *прессует (press пресс, сжимать) / depress дипрес депресс / ДЕПРЕСия *угнетает и *подавляет (press давка давить) / impress импрес / ИМПРЕСарио *произвел-сильное-впечатление (impression импрешэн впечатление от импрессии) / *отпечаток *оттиск *печать (press-нажимать) / press прес / *ПРЕССа *типография *надавливание *ПРЕСС *давка *свалка *спешка *жать *прижимать *выжимать *давить *нажимать *ПРЕССовать / *ПРЕСС *давит всё подряд всмятку (pressure прешэр давление) / repress рипрес репресс / РЕПРЕСии *подавляют несогласных (press прес давить) / stress стрес / *СТРЕСС *напряжение *давление *нажим *напор *ударение (press давить нажимать) / suppress сэпрес / *пресекать *сдерживать *подавлять (press-давить repress-подавлять)|
 pressure [прешэр][прешэ]|давление|press прес / *ПРЕССа *типография *надавливание *ПРЕСС *давка *свалка *спешка *жать *прижимать *выжимать *давить *нажимать *ПРЕССовать / *ПРЕСС *давит всё подряд всмятку (pressure прешэр давление)|
prevail [при'веил]|преобладать,возобладать|превалировать / prevail привеил преваил / *ПРЕВАЛИРОВАТЬ *торжествовать *одержать-победу *достигать-цели *преобладать|
 prevalent [превэлэнт]|распространенный,преобладающий||
prevent [при'вент]|предотвращать|превентивный / prevent привент превент / ПРЕВЕНТивные меры *препятствуют эпидемии / *отводить *предотвращать *мешать|
 prevention [при'веншэн]|предотвращение,профилактика||
 preventive [при'венив][при'вентив]|профилактический,превентивный||
 prevent-*-from [при'вент][при'вент-фрэм][при'вентсмбфром]|предотвратить,мешать||
 keep-*-from [ки:псмбфром]|держаться-от,мешать||
private [праивэт][праивит]|частный,личный|приватный приватизация / private прайвит привате / ПРИВАТный значит *частный *личный / ПРИВАТизация|
 privately [праивэтли][праивитли]|в-частном-порядке,про-себя,частным-образом||
 privacy [праивэси][привэси]|частная-жизнь,конфиденциальность|privacy праивэси приваси / ПРИВАТный чат для *уединенности и *секретности|
probe [проуб][прэуб]|зонд,датчик,зонд / 2,исследовать,проверить|проба пробник / probe проуб пробе / *исследовать *проверить ПРОБу воды / ПРОБник это *датчик *зонд|
 probation [проу'беишэн][прэ'беишэн]|испытательный-срок,испытание,испыт.срок||
procedure [прэ'сиджэр][проу'сиджэр][прэ'си:джэ]|процедура|%|
producer [прэ'дусэр][прэ'дью:сэ]|продюсер,производитель|продюсер / produce прэдьюс продусе / ПРОДЮСер *производит фильмы про дусю / *производить ПРОДУКЦию (production прэдэкшен производство)(producer прэдусэр производитель)|
 produce [проудус][прэ'дус][продью:с]|производить|продуцию / produce прэдьюс продусе / ПРОДЮСер *производит фильмы про дусю / *производить ПРОДУКЦию (production прэдэкшен производство)(producer прэдусэр производитель)|
 production [пэр'дэкшэн][прэ'дэкшэн][проу'дэкшэн][прэ'дАкшэн]|производство|produce прэдьюс продусе / ПРОДЮСер *производит фильмы про дусю / *производить ПРОДУКЦию (production прэдэкшен производство)(producer прэдусэр производитель)|
profit [прафит][профит]|выгода,польза,извлекать-пользу|профит-сленг / profit профит / *извлекать *пользу *прибыль это ПРОФИТ (сленг) / ПРОФИТроли это *выгодные рулетики для профи тролей|
 profitable [прафэтэбэл][профитэбл]|прибыльный||
 unprofitable [эн'прафитэбэл][Ан'профитэбл]|убыточный||
 nonprofit [нан'прафэт][нон'профит]|некоммерческая-организация,некоммерческий||
prolong [прэ'лоН][прэу'лоН]|продлить|пролонгация / prolong прэлоН пролонг / ПРОЛОНГация это *продлить срок вклада (long лоН длинный)|
 prolongation [прэулоН'геишэн]|продление||
propeller [прэ'пелэр][прэ'пелэ]|гребной-винт,пропеллер|%|
 propel [прэ'пел]|продвигать,двигать,толкать|propel прэпел пропел / ПРОПЕЛлер *двигает и *толкает аэроплан|
protect [прэ'тект]|защищать|протектор шины / protect прэтект протект / ПРОТЕКТОР *защищает колесо от ПРОТЫКания / ПРОТЕКЦИя *ограждает от проблем|
 protection [прэ'текшэн]|защита||
 protective [прэ'тектив]|защитный||
provider [прэ'ваидэр][прэ'ваидэ]|поставщик|провайдер|
 provide [прэ'ваид]|предоставлять,обеспечивать,снабжать|provide прэвайд провиде / ПРОВАЙДер *снабжает и *обеспечивает интернетом и *предоставляет инфу куда ты ходил куда надо|
 provision [прэ'вижэн]|обеспечение|provision прэвижэн провизион / ПРОВИЗИей *обеспечить (vision вижен зрение вид зрелище видение)|
 provided [прэ'ваидид]|предоставил,при-условии||
publish [пэблиш][пАблиш]|издавать,публиковать|% / publish паблиш публиш / *ПУБЛИковать и *издавать книги для публики с бубликом (publishing-house публишинхаус *издательство)|
 publisher [пэблишэр][пАблишэ]|издатель,издательство||
 publicize [пэбли,саиз][пАблисаиз]|оповещать,рекламировать||
pump [пэмп][пАмп]|насос,нагнетать|помпа памперс / pump памп пумп / ПОМПа *качает как *насос / ПАМПерс *выкачивает всю жидкость|
purple [пэрпэл][пэ:пл]|фиолетовый,пурпурный|% / ДИП перпл - им *глубоко(deep дип) *фиолетово(purple перпл) на всех / purple пэрпэл пурпле / ПУРПУрный почти *фиолетовой|
puzzle [пэзэл][пАзл]|головоломка,озадачить|пазл / puzzle пазэл пуззле / головоломка ПАЗЛ *озадачил|
 puzzlement [пэзэлмэнт][пАзлмэнт]|замешательство||
quarry [кВори]|карьер|+р %% / quarry кВори куарри / (в убрали) *КАРЬЕр (немного похоже) *каменоломня|
quarter [кВортэр][кВо:тэ]|четверть|квартал-года / quarter кВортер квартер / КВАРТАл (года) это *четвеРть года - три месяца|
quest [кВест]|квест,поиск|квест / quest кВест куест / в КВЕСТе *разыскивать *поиск ключа от двери|
 question [кВесчэн][кВешэн]|вопрос,подвергать-сомнению|вопрос в квесте / question кВесчэн куестион / *вопрос в КВЕСТе поЧЕМу? по кочану да по капусте|
 questionable [кВесчэнэбэл][кВесчэнэбл]|сомнительный||
 questionnaire [кВесчэ'нер][кВестиэ'неэ]|вопросник,анкета|вопросник|
race [реис]|гонка / 2,раса|% рейс / race рейс расе / *гоняться за РЕЙСовым автобусом / в *погоне участвуют негры и РАСИсты / три РЕЙСовых самолета устроили *гонки, никто не выжил|
 racial [реишэл]|расовый||
radiation [реиди'еишэн]|радиация,излучение|радиация|
 radiate [реиди,еит][реидиэт][реидиит]|излучать| радиатор-батарея-отопл / radiate реидиэт радиате / *излучает РАДИАТор РАДИАЦию и тепло|
raid [реид]|рейд,набег|рейдерский захват / raid рейд раид / *набег это *РЕЙД омона по конторам рога и копыта (ride райд поездка езда-верхом подавлять терроризировать) / РЕЙДерский захват это *налёт|
rail [реил]|рельс,перила|+с %% / rail реил раил / *РЕЛьсы (немного похоже)(railway-station реилвеистеишэн вокзал) / railroad реилроуд раилроад / *железная-дорога это рельсы(rail) + дорога(road) / railway реилВей раилваи / *железная-дорога это рельсы(rail) + путь(way)|
 railing [реилиН]|перила||
 derail [ди'реил]|сойти-с-рельсов,сходить-с-рельс||
 railway [реил,Веи]|железная-дорога|rail реил раил / *РЕЛьсы (немного похоже)(railway-station реилвеистеишэн вокзал) / railway реилВей раилваи / *железная-дорога это рельсы(rail) + путь(way)|
 railroad [реил,роуд][реилрэуд]|железная-дорога|railroad реилроуд раилроад / *железная-дорога это рельсы(rail) + дорога(road)|
rainbow [реин,боу][реинбэу]|радуга|дождь+дуга / rainbow реинбоу / РЕЙН-дождь + БОУ-дуга = *радуга|
random [рЭндэм]|случайный,выбранный-наугад|рандомный / random рэндэм рандом / *выбранный-наугад это *РАНДОМный (сленг) / ransom рэнсэм рансом / *выкуп принес дипломат с РАНЦЕМ (random-случайный)|
 randomized [рЭндэ,маизд][рандомизед]|рандомизированный,случайный,перемешанный||
rare [рер][реэ]|редкий|раритет / rare рер, реэ раре / РАРитет это *редкое и древнее (rear рир задний тыл)|
 rareness [рернис][реэнис]|редкость||
