#Xing*2025/750(1600) похожих + 1700(3200) родственных (уровень примерно A2+В1)
#сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# %-похоже, %%-немного-похоже æ=Э ŋ=Н θ=С ð=З w=В ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! 3700 слов примерно тоже самое, но здесь больше ФА + словоформы (сущ,прил,нареч) 2300 слов, но нет имен, названий и расшифровок слов. Слова частые из списков 7700+3000+5000 из разных источников + амер.тр и гугл перевод. 
#(ещё до конца недоделано, но учить можно 1500 слов 2 уровня сложности)
#
AM-PM[ей'ем-пи'ем]|до-после полудня|время 0-12ч|
bin[бин]|мусорное-ведро,ящик,ведро,ларь|+с БИНтами/БИНты в *мусорном-ящике зашевелились и оттуда вылезла мумия, ааа беги оттуда/БИНокль торчит из *бункера/нашли БИНты в *мусорном-ящике гробницы мумии, караул мумию украли!/мистер БИН попал головой в *мусорное-ведро и нашел там флакончик с новичком|
bind[баинд]|связывать|(bound,bound)/БИНТом *связали раненного|bandage[бЭндидж]бинт
birth[бэРС]|рождение,начало|БЕРСерк *родился и всех загрыз/дети БЕСились на дне *Рождения БЕСа/*рождение БЕРёЗы(birch~бёрч) в лесу отмечали ёлки и палки| birthday[бэРС,деи]день-рождения/хэпи БЁЗДЕЙ ту ю(с *днём-рождения тебя, песня)
bitch[бич]|собачиха,сучка|+с БИЧем на пляже(beach~биич) живут всё лето/БИЧ это мужик в наколках бичует по злачным местам|
bite[баит]|кусать,укус|(bit,bitten)/вирус *откусил у БАЙТа два БИТА/вирус *откусил гигоБАЙТ памяти в телефоне и отложил там яйца/баю-БАЙ засыпай, а То придет волчок и *укусит за бочок/БАЙден *покусал Трампа/баБАЙка *укусила Тебя ночью|bit~бит немного *мелкая-монета БИТкоин стоит уже за миллион деревянных//bitter~битэР горький - откушенный
bizarre[би'заР]|странный,причудливый|+БАЗАР с умными вещами бесплатно (кино)/ *причудливый БИЗОн укушен *стРанной осой, теперь он косой/на БАЗАРе *странный продавец продал тебе кота в мешке и подложил свинью|
blackmail[блЭк,меил]|шантажировать|=черная + почта в черной причерной комнате|
blade[блеид]|лезвие|+увидел и поБЛЕДнел от страха|blood~блад *кровь от *лезвия// blade-of-grass[блеидовгра:с]травинка =лезвие+травы
blame[блеим]|обвинять,винить|+в проБЛЕМах других (не *виноватая я, он сам пришёл)/Белая и пушистая ЛАМа *обвиняется в ламерстве/*обвинили что БЛЕфую, ИМ виднее/мы БЛЕЕМ, они *ругают нас и овец/оБЛЕЙ Меня сказал цветок с *упреком| blameless[блеимлэс][блеимлис]безупречный/less=без
bleak[бли:к]|мрачный|~БЛЁКлый и *унылый *мрачный оБЛИК|black~блэк черный// bleakness[бликнэс][бли:книс]мрачность,унылость/-ness сущ
bleed[бли:д]|истекать-кровью,кровоточить|(bled,bled)/(blood~блад кровь)/выглядишь очень БЛЕДно т.к *истёк-кровью|blade[блеид]*лезвием порезал и *истёк-кровью
blend[бленд]|смешивать|~БЛЕНДер *смешивает продукты|mix~микс миксер
bless[блес]|благословить,благословлять|~БЛЕСтящую пару на тот свет и в последний путь/ *благословлил БЛЕСк БЛЕСны и поймал золотую рыбку|blessing[блесиН]благословение/-ing сущ
blind[блаинд]|слепой|в ~БЛИНДаже сижу как *слепой - ниче не видно/*слепой ел в БЛИНДаже БЛИНы и прозрел|
blink[блиНк]|моргать,мерцать,мигать|БЛИНКен *моргает три раза когда врёт с три короба/ БЛИН Катился по дороге, думала мне мерещится, стала *моргать часто - не помогло, это Колобок был|
bliss[блис]|блаженство|БЛИЗ тебя ищу *блаженства и че нибудь поесть/нам обещают что БЛИЗится *счастье, держи карман шире/БЛИСтательную пару благославили(bless~блес) на вечное *блаженство в раю|blissful[блисфэл][блисфул]блаженный/-ful прил
blizzard[близэрд][близэд]|метель,буран|БЛИЗИТся *снежная-буря и опасность(hazard~хэзэрд риск) нам крышка/БЛИЗнецы прятались от ОРДы ящериц(lizard~лизэрд) в *метель|
block[блак][блок]|квартал,блокировать|%/БЛОКнот - записная книжка = *группа-колода + заметка(note~ноут запись)/в *квартал въезд заБЛОКирован и стоит БЛОК пост/*препятствие из БЛОКов|block-out[блак-аут][блокаут]блокировать,не-пускать/+вне/а блэкаут это тьма тьмущая//block-up[блак-эп][блокАп]заблокировать,забиться(о-канале)/+вверх
bloom[блу:м]|цвести,расцвет,расцветать|новости *цвели в БЛУМберге/БоЛьной УМер в *расцвете сил/на БЛЮде Мухаморы *цвели и пахли, мухи счастливы| blossom[бласэм][блосэм]цвести,цвет/на яБЛОне *распускаются цветы вСЕМ назло, а запах..
blow[блоу][блэу]|дуть/2,удар|(blew,blown)/*ударить БЛОхУ кувалдой между глаз смог левша/ *ударить мимо и потом *подуть на пальчик/расчесали космы и *сдули БЛОх с расчески/тощую БЛОндикУ *сдувает ветром/*дуть на БЛОхУ чтобы она улетела подальше| bloat[блоут][блэут]раздувается блоха утром// blow-out[блоу-аут][блэуаут]задуть(свечу)/+вне// blow-over[блоу-оувэр][блэу'эувэ]сдуть,пройти,утихнуть/+через// blow-up[блоу-эп][блэуАп]взорвать/накачивать,надувать/+вверх=готово
blunt[блэнт][блАнт]|тупой,притуплять|*тупой БЛАТНой (blank~блЭнк пустая голова)/*тупой заполнял БЛАНК *тупо и *тупил|bluntly[блэнтли][блАнтли]тупо,прямо,резко въехал на бентли в столб/-ly нареч
blur[блэР]|размытие,размывать,смазывать|~заБЛЮРить/*смазывать БЛЁклый цвет *Размывать| blurry[блэ:ри]размытый/-y прил//blue~блу подавленный унылый голубой
blush[блэш][блАш]|румянец,краснеть|БЛАЖь *краснеть заставляет, так *стыдно/я позволил себе БЛАЖь - спать пьяным в луже, так *стыдно перед событыльниками спящими рядом| blushing[блэшиН][блАшиН]краснея,застенчивый/-ing сущ процесс
board[боРд]|доска,борт,подниматься-на-борт/2,доска/3,совет,коллегия|*БОРТ %/сноуБОРД = снег(snow~сноу) + *доска/скейтБОРД = *кататься-на-льду(skate~скейт) + *доска/билБОРД = афиша(bill~бил клюв) + *доска/БОДрый ученик с БОРоДой вышел к *доске и запнулся о БОРДюр/ты БОДрым шагом шел на *правление, но заблудился, номера на домах черте как и половина нету, а гугл карты показывают что тут море|boarding[боРдиН]посадка на борт/-ing сущ процесс//billboard[бил,борд][билбо:д]рекламный-щит =БИЛБОРД// keyboard[ки,борд][ки:бо:д]клавиатура =клавиша+доска/КИБОРГ с *клавиатурой режется с тобой по сетке, ты его уделал/КЕЙс с новой *клавиатурой БОДрый администратор унес домой/КИБОРГи с *клавиатурой - это современные пенсионеры,сидящие в ютубе целыми днями// board-game[бо:дгеим]настольная-игра//boardroom[бор,друм][бо:друм]зал-заседаний/а бедрум спальня для депутатов на заседании/
boat[боут][бэут]|лодка,судно|БАТискаф - *лодка в скафандре/у *лодки два БОрТа/БОюсь УТонуть в *лодке|boot~бут ботинок как *лодка плавал в луже// sailboat[сеил,боут][сеилбэут]парусник,парусная-лодка плывёт на промыСЕЛ
bog[баг][бог]|болото,трясина|БОГ был о май гад и жил в *болоте как поганка, а ему летать охота (мульт)/все БОГи живут на *болотах/робин гуд БОГатых топил в *болоте/знает лишь БОГ как край наш убог *болота одни|marsh~марш при МАРш броске через *болото все утонули// boggy[боги]болотистый,топкий/о,БОГИ тону в *болоте,спасите/БОГИня русалка *утопилась
bold[боулд][бэулд]|смелый,дерзкий,безрассудный|БОЛДуин *отважный и *наглый актёр застрелил кинооператора из игрушечного пистолета/БАЛДа *отважный и *наглый надул черта и попа/БОЛьше обычного *жирный шрифт/ты положил на учебу *жирный БОЛТ и пошел играть| bald~болд/БОЛДинская осень с *оголенными деревьми/БОЛТ с *лысой резьбой не закручивается/ *лысый БАЛДа работал у *лысого попа парикмахером// boldness[боулднэс][бэулднэс]смелость,дерзость/-ness сущ
bond[банд][бонд]|обязательство,облигация/2,связь,узы,соединение|джеймс БОНД 007 сломал *оковы и сбежал/джеймс БОНД поймал *крепостного БАНДита в *оковах и маньку *облигацию| band~бэнд лента банда
bone[боун][бэун]|кость|красавица(bonny~бони) БОНИ и чудовище клайд сломали тебе все *кости/БОНИфаций ел *кости/*кости недовольного аБОНЕнта нашли в подвале мегафона| bonfire~бонфаиэр *костер это *кости + огонь//bony[боуни][бэуни]костлявый/-y прил
bonfire[бан,фаиэр][бон,фаиэ]|костер|=кости(bone~боун) + огонь(fire~файр)/БОНиФАцИй через *костёр прыгал и допрыгался, нашли потом его обгорелые *кости|
boobs[бу:бз]|сиськи|+у бабс/БУфера (жаргон)|
book[бук]|книга,купить,забронировать|БУКварь первая *книга/в каждой *книге есть БУКвы/ БУКина светка читала *книгу БУКварь, но ничего там не поняла/фейсБУК = лицо(face~фейс) + *книга/ноутБУК = заметка(note ноут запись отметить) + *книга/БУКа *забронировал номер|
boot[бу:т]|сапог,ботинок|в ~оБУвь оБУТ/~БУТсы это *БОТинки для футбола/оБУТ в БУТике в *ботинок/*новичок выпил БУТылку с *новичком с *пользой и откинул копыта/*сапогом наступил на БУТерброд и его *уволили|boat~боут *лодка из старого *ботинка//boots~бутс БУТСы БОТинки
booze[бу:з]|выпивка|бузова *напилась и БУЗит, алкоголичка|buzz~баз БУЗит и *визжит когда *напьется//boozer[бузэР][бу:зэ]пивная,пьяница/-er исполнитель
border[боРдэР]|граница,край|~БОРДЮР это *край дороги и *граница с тротуаром/БОДРые Эмигранты на *границе лезли через забор|abroad~эброд *за-границу через брод
bore[боР]|бурить,надоедать,зануда|~БОР машина *бурит зуб/БОРя ёлкин *надоел и мухожук/на БОРту падающего самолёта всем *скучно/*зануда в сосновом БОРЕ бродит и тоску наводит/ *сильное-приливное-течение на заБОРЕ, *скучный БОРЯ там кораблики пускает и всем надоел| boring[бо:риН]скучный БОРИН мухожук всем надоел панимаеш/*скучный БОРЯ курил заБОРИстую траву На заБОРЕ/*скучный БОй на РИНГе,это договорняк/-ing прил?//boredom[боРдэм]скука в борделе дома
borrow[ба,роу][борэу]|занимать,брать-взаймы|БЕРУ в *долг у жирного БОРОВа из мафии, жить надоело?/*позаимствовали БОРОва для свиньи/БОРОВ *занял рубль до получки у свиньи/БОРОдУ из ваты *одолжил дед мороз у санта клауса|borrower[бароуэр][борэуэ]заёмщик/-er исполнитель
both[боуС][бэуС]|оба|+БОСа наступили БОСиком на шишку, ай/*оба БОСа большие шишки(boss~бос)/*обе БОСиком и обедают (из анекдота про таблички)/*оба БОСа кричат - ай БОЮСь посадят нас, а ты не воруй/*оба ключа должны быть у БОСа цру (кино)/БОЮСь что разведены *оба моста и нам придется плыть к зимнему на авроре|
bother[баЗэр][боЗэ]|беспокоить|+тебя на БАЗАРе - купи! ну купи кота в мешке/на БАЗАРе *надоедают, эй братан(brother~брэзер) купи всякую дрянь китайскую без чека/за БАЗАР отвечать придётся, это нас *беспокоит|
bottom[батэм][ботэм]|нижний,дно|ГОТЭМ это *дно *днищенское, джокер недоволен/по суБОТАМ на *дне губка боб устраивает суБОТник (убирают мусор от туристов)/ты наступил БОТинкОМ на *дно лужи и провалился по пояс/слон(элефант) достал хоБОТОМ монетку со *дна фонтана желаний/БОюсь ТЕМного *дна тихого омута с чертями *внизу| bottomless[батэмлэс][ботэмлис]бездонный/less=без
bounce[баунс]|отскакивать,подпрыгивать,прыгать|+за БОНУСами в игре ходилке-стрелялке| bouncing[баунсиН]подпрыгивая,живой,шумный/-ing сущ процесс
bound[баунд]|граница,обязан|за *границей ты купил батончик БАУНТи(щедрость)/джеймс БОНД *связал на *границе БАНДита|bond~бонд связь *обязательство//rebound рибаунд *срикошетила *отскочила РЫБА от *границы сети//boundary[баундэри][баундри]граница,черта/за *границей жили БАНДЕРовцы никого не трогали и вдруг на них напали варвары,все фшоке// bounds[баундз]рамки(перен),границы %
bounty[баунти]|награда,вознаграждение|батончик БАУНТИ это *щедрость и лаваш(lavish~лэвиш щедрый обильный)|bountiful[баунтифэл][баунтифул]щедрый,обильный/-ful прил
brace[бреис]|скобка,скоба,распорка,скрепа|+для ~БРАСлета|
bracket[брЭкит]|кронштейн,скобка|+на зубы это ~БРЕКЕТы|
brag[брЭг]|хвастаться,кичиться|*хвастун пил БРАГу и *хвастался хвостом и рогами/выпил пару кружек БРАГи, ощутил прилив отваги, в споре *хвастался о том, что поймаю муху ртом, пролетала мимо муха, угодила прямо в кружку, выпил третью кружку с ней, выиграл мильон рублей|braggart[брЭгэт]хвастун пил БРАГу и гартанил песни
brake[бреик]|тормоз|БРАКованный *тормоз сломался(break~брейк) ааа, мы все умрём!/БРЕЙК танцуют без *тормозов|break~брейк перемена ломать трещина
branch[брЭнч][бра:нч]|ветвь/2,филиал,ответвление|на морозе *ветви деревьев БРЕНЧат/с голодухи БаРАНы глодают *ветки/БаРАН Чистил *веткой свинарник нюши хрюши/об этом *филиале сбербанка в мух-ске одни БРАНные слова и слов нет, одни слюни|
brass[брЭс][бра:с]|латунь|~БРАСлеты *медные из *латуни/появилась мода плавать БРАССом с *медным тазом за буйки и отбиваться им от акул/*браслеты императора были *медными, а шлем из *латуни/тинто БРАС снял 50 оттенков(tint~тинт) серой *латуни|copper~копер *медь
brassiere[брЭсиэ]|лифчик,бюстгальтер|(=bra) из латуни(brass~брЭс) с замком верности|
brave[бреив]|храбрый|БРАВый солдат швейк был *смелый и *храбрый/*смелый БРЕЙВик завалил кучу народа и сидит|bravery[бреивэри]храбрость =бравада
breach[бри:ч]|нарушение,прорывать,пробивать,брешь|ч=ш %%/*БРЕШь *пролом *отверстие/ БРИЧка *нарушила правила и *пробила *брешь в стене, никто не выжил|
breadth[бредС]|ширина,широта|(broad~брод широкий)|bread[bred]хлеб
break[бреик]|нарушать,перерыв,перемена|(broke,broken)/на *переменке танцевала БРЕЙК данс без тормозов(brake~брейк) и БРЫКалась и *ломалась (но её *уломали)/*ломать Большую РЕЙКу тебе о голову/от слова БРЕЙК данс, что означает *ломающийся танец|breakfast~брекфэст на *переменке быстро(fast~фаст) жуём *завтрак/brake~бреик БРАКованный *тормоз сломался,ааа мы все умрём//break-away[бреик-э'Веи]вырваться,отделяться/+прочь break-down[бреик-даун]авария,ломаться,разрушение/+вниз// break-into[бреик'инту:]ворваться-в,проникнуть,вломиться/+внутрь// break-in[бреик-ин]вламываться,взлом,ограбление/=в+ломать// break-out[бреик-аут][бреикаут]разразиться,вспыхнуть,разразиться/2,сбежать,вырваться// break-free[бреикфри:]вырваться-на-свободу,освободиться/+свободный// break-loose[бреиклу:с]вырваться-на-свободу,освободиться/люстра труп болтается// break-up[бреик-эп][бреикАп]расставаться,разорвать-отношения/2,расставание/+вверх=готово// break-through[бреик,Сфру:]прорыв,достижение/=ломать+сквозь
breast[брест]|грудь|БРЕСТ защищали *грудью на *совесть от половцев и хазар|
breath[бреС]|дыхание,вздох|+полной грудью(breast~брест)/У БРИЗа морское *дыхание/увидел оБРЕЗ - затаил *дыхание и закричал спасите убивают!|breathe~бриЗ *дышать свежим БРИЗом, ветер с моря дул//breathtaking[бреС,теикиН]захватывающий-дух,захватывающий =берущий+вздох
breed[бри:д]|разводить,выращивать/2,порода,поколение|(bred,bred)/новая *порода - гиБРИД мухи и слона! нее, это БРЕЕД/*разводить-породу БРОДячих собак (для хот-догов)/*порода гиБРИД мухи и жука - мухожук/в кемБРИДже учится особая *порода студентов - рептилоиды/что за БРЕД *разводить *породу тараканов-людоедов чтобы подкинуть соседям|
brew[бру:]|заваривать,варить-напиток|бонч БРУевич сидит на лавке(bench~бенч) и *заваривает БРУсничный чай/*варить БРУснику на варенье в тазике|brewery[бруэри]пивоварня =заварня
bribe[браиб]|подкупить,взятка|БРАть *взятку нехорошо И Давать тоже/БРАт ИБрагима дал *взятку махмуду поджигателю и спалился|bribery[браибэри]взяточничество/БРАть-БЕРИ бьют беги/blueberry~блубери черника голубая у дальтоника
brick[брик]|кирпич|на БРИКС собрались *кирпичники и массоны(mason~мейсн каменщик) будут строить светлое будущее, но не нам/*кирпичи на фаБРИКе продают в БРИКетах/БРИКет похож на *кирпич|bricklayer[бри,клеиэР]каменщик =кирпиче-ложитель// brickwork[брикВэ:к]кирпичная-кладка/+работа
bride[браид]|невеста|+с БоРОДой из ваты у деда мороза/мы познакомились с моей *невестой на БРАЙТон бич и больше я её не видел/у *невесты виднелась борода(beard~БИРД) под фатой в жирных(fat~фат) пятнах/у БРАта ИДиота *невеста дура и страшная как лошадь| bridal[браидэл][браидл]свадебный/-al прил
bridge[бридж]|мост|БРИДЖит бордо бежит по *мосту в бордовых штанах БРИДЖах/в кемБРИДЖ все идут через ржавый *мост, а в оксфорд через брод(ford~форд) с крокодилами/в БРИДЖах(штаны) играли в БРИДЖ(карты) на *мосту, проигравших скидывали с *моста| drawbridge[дро,бридж][дро:бридж]разводной-мост,подъемный-мост/+draw~дро тянуть
bring[бриН]|приносить,принести|(brought,brought)/из БеРИНГова моря *принесите БаРЫНе золотую рыбку/*принесли БаРИНу жареного БаРАНа/БРИгада На работу *принесла пузырь и закуску/ты БРЕНчишь ведром когда *приносишь воду/саБРИНа *принесла новый альбом boys-boys|bring-along[бриН-э'лоН][бриНэ'лоН]взять-с-собой =принести+вдоль// bring-around[бриНэ'раунд]привести-вокруг,убедить// talk-around[то:кэ'раунд]говорить-вокруг,убедить//bring-back[бриН-бЭк][бриНбЭк]вернуть назад//give-back[гивбЭк]отдать-обратно,отдать назад// take-back[теикбЭк]забрать-обратно,забрать назад// bring-down[бриН-даун]сбить,сбрасывать,свергать/+вниз// bring-in[бриН-ин]принести,привлечь/+в// run-up-against[рАнАпэ'генст]столкнуться-с,нарываться-на// bring-out[бриН-аут]вывести,выпустить(новинку) вне// roll-out[рэулаут]посадочная-дистанция,выпустить вне
bring-up[бриН-эп][бриНАп]|воспитывать/2,поднять-тему|камень катил(БРИН) вверх(АП) - так *воспитывали сизифа|
broad[бро:д]|широкий|БРОДвей = *просторный + путь(way~вей)/*широкий БРОД (а брод это ford)/БРОДяга перешёл вБРОД *широкую реку с крокодилами, на одном даже покатался/перехожу *широкий БРОД с пираньями, на середине встретил крокодила, он дожевывал чью то ногу..| wide~Ваид ВОЙДи в *широкий брод с крокодилами и пираньми// broaden[бродэн][бро:дн]расширять БРОД весь ДЕНь// broadcast[брод,кЭст][бро:дка:ст]транслировать,трансляция широкого+кастинга/через БРОД идет *передача КАСТетов оружия и наркотиков// broadcaster[брод,кЭстэр][бро:дка:стэ]телеведущий,диктор/-er исполнитель
broom[брум]|метла,веник|+БРУсчатку Мести/ты БРал УМело *метлу ведьмы и летал на ней над городом, люди внизу махали тебе руками|
bruise[бру:з]|синяк,ушиб|с=з, БРЮС ли *побил БРЮЗгу, он в *синяках в больнице/на БРУСьях делал переворот и упал, теперь всё в *синяках и болит|
brush[брэш][брАш]|кисть,щётка,чистить|БРАть *Щетку *чистить/смешарик БаРАШ *щеткой чистил нюшу в бане, свинья везде грязь найдёт/*щеткой чистил БРОШь до блеска, ах красота|
bubble[бэбэл][бАбл]|пузырь|+лопнул и осталась дырка от БУБЛИка|babble~бэбл в БИБЛии(Bible) один детский *лепет и *бормотание небылиц
buck[бэк][бАк]|доллар,самец-рогатых|~БЫК с рогами/*денди носил БАКенбарды и рога ему наставила жена/БАКс *доллар/встал на БАК чтобы залезть на *гимнастический-козёл и выпрыгнуть из окна|
bucket[бэкэт][бэкит][бАкит]|ведро,бадья|~БАК (basket~бэскит корзина БАСКЕТбол)/БУКЕТ поставили в *ведро чтобы не завял/БАК ЭТо *ведро без ручки|
bud[бэд][бАд]|бутон,почка-растения|в БАДен БАДен *почки распускаются два раза/БУДи весна дерево, распускайтесь *почки|
buddy[бэди][бАди]|приятель,дружище,парень|БУДДа *приятель вшивы/БАДью принес *приятель - со стройки украл|body~боди *тело пьяного *парня нашли в бадье
bug[бэг][бАг]|ошибка,жук|леди БАГ это *жучок божья коровка/в сумке(bag~бэг) бегает *жук навозный, фу/БАГ это *глюк в программе, а *жучок это подлянка/из БАГажника бегут *жуки по тебе и залазят прямо в рот, ааа|beetle~битл жук таракан
build-on[билд-он]|опираться-на,нарастить,развить|=строить + на| built-in[билт'ин]встроенный/=в+строить
bulb[бэлб][бАлб]|лампочка,колба|тарас БУЛЬБа продал волшебную *лампу алладину, *луковицу чиполино, а *шарики лошарикам/БАЛБес *лампочку засунул в рот, а вытащить не может|
bullshit[бул,шит]|чушь-собачья,ерунда|bully~були-задира + бяка|bull's bullshit
bum[бэм][бАм]|бездельничать,бомж,бездельник|*оБАрМот/бебиБУМ устроили *бомжи и *бездельники ради пособий нахаляву/*бомж-бездельник поехал на БАМ за длинным рублем/БАМ и ранец на полу, БАМ учебники в углу, это тебе в понедельник заниматься лень, *бездельник| boom~бум шумиха бейбибум
bun[бэн][бАн]|булочка|запретить(ban~бЭн) есть *булочки толстым/пухленькая девочка с *пучком *узлом-волос и БАНтиком любит *булочки, весит уже 200 кг, а ей всего 5 лет/ *булочка в БАНке плавает, а котлета в чайнике(kettle~кетэл) после вчерашней вписки/таБУН быков(bull~бул) жуёт одну *булку по очереди/если заБАНили в БАНе то надо съесть *булочку|
bunk[бэНк][бАНк]|койка,спальное-место|*койка в БУНКере/*койка в кабинете у директора БАНКа для сончаса после обеда с секретаршей|bed~бед кровать бедная
bunny[бэни][бАни]|кролик(разг)|*зайца, *заю и *зайку заБАНИл ё#й *кролик, правда глаза колет!/у бабы мани за БАНЕй много *кроликов, она их разводит(на деньги)(мэни-много мани-деньги)|rabbit~рэбит/ у *зайца РЕБИТ в глазах когда бежит от волка//hare~хер *заяц нанял волка делать харакири
burglar[бэРглэР]|грабитель,вор-взломщик|+с БОЛГАРкой вкрыл твой сейф/БЕГЛый *ночной-вор *взломщик украл ЛАРец марии медичи из музея| burglary[бэРглэри]ограбление,кража-со-взломом/БЕРи бабки и ГЛОРИ-победа
burn[бэРн]|гореть,жечь|БУРНо *горит БЕРН, это гуБЕРНатор поджёг, следы заметает/*ожог оБЕРНулся пересадкой кожи/гуБЕРНатор *погорел на взятке и сидит| burn-down[бэРн-даун]сгореть,сжечь(полностью)/+вниз// burn-out[бэРн-аут]сгореть,выгореть,перегореть/+вне
bury[бери]|хоронить|БУРИ яму и *зарывай труп/БЕРИ лопату бум *хоронить клад| burial[бериэл]захоронение БЕРИи вскрЫЛи, а там пусто, сбежал в аргентину!
bush[буш]|куст|ты подстригал *кусты и встретил БУШмена(человек *куст)с *густыми-волосами он сидел в засаде(ambush~эмбуш)/БУШ прятался в *кустах белого дома и нашел там рубль| bushy[буши]кустистый,лохматый/-y прил
butterfly[бэтэр,флаи][бАтэфлаи]|бабочка|стиль пловца БАТТЕРФЛЯЙ имитирует *бабочку/мадам БАТЕРФЛЯЙ послала тебя на хутор *бабочек ловить и дала тебе воот такой(such~сач) сачок| fly~флай муха +в масле
button[бэтэн][бАтн]|кнопка,пуговица,застёгивать|потянув за *кнопки, БЭТмЭН расстегнул плащ и вытащил БАТоН/*пуговица попалась в БАТоНе, чуть не подавился/в магазине автомат - нажимаешь на *кнопку и выпадает кефир и полБАТоНа| unbutton[эн'бэтэн][Ан'бАтн]расстегнуть,расстегивать/un=не + пуговица
buy[баи]|купить,верить,соглашаться(разг)|БАЙден *купил логово(den~ден) дракона и ждал *благоприятного-случая(bide~байд) полетать на драконе/БАЙ *покупал батраков на черном рынке и *соглашался на полцены/БАЙкер почтальон печкин *верил бейкеру(пекарь)/ты *купил БАЙдарку с парусом и мотором/когда *покупаешь - деньгам говоришь гуд-БАЙ|buyer~баиэр покупатель//by~бай предлог при//bye~бай пока//buy-up[баи-эп][баиАп]скупить/+вверх=готово
buzz[бэз][бАз]|гул,жужжать|БУЗит и *визжит когда напьется(booze~буз)/голос БАС это *жужжание/БАС гитара издает *визг|
by-heart[баи-хаРт]|наизусть|=всем сердцем|
by-oneself[баи-Вэн'селф][баиВАн'селф]|сам-по-себе,сам,один|+в БАНе делал СЕЛФи|
bypass[баи,пЭс][баипа:с]|обойти,обход,обходить|+баБАЙку (pass~пас проход)|
#
cab[кЭб]|такси|КАБриолет это *такси с КАБиной|
cabbage[кЭбэдж][кЭбидж]|капуста|*капусту(бабки) рубят в КЕБрИДЖе/британский КЭБ(cab) (такси) вас повезет, если будет имИДЖ - у вас вместо головы должна быть *капуста|
cabin[кЭбэн][кЭбин]|каюта,хижина|КАБИНет в *хижине у кабана и кабанихи/из КАБИНы разбитого самолета сделали *хижину в джунглях(кино)/КАБИНа катера почти *каюта|
cage[кеидж]|клетка,запирать-в-клетку|николаса КЕЙДЖа посадили в *клетку в алькатрасе (кино)/от *клетки КЕЙ(ключ) нуЖен|cell~сел/ СЕЛ в *клетку николас КЕЙДЖ
calf[кЭф][ка:ф]|теленок|(calves~кЭвз телята)/*теленок в КАФе ел ХАЛВу курил КАЛьян и Фоткался с *тёлками/*икры ног закутал КАФтан/*телята пьют КОФе и курят возле школы с тёлками/около КАФе стоит *телёнок и на завтрак в КАФе тоже *телёнок|cuff~каф *обшлаг *манжета у КАФтана
call-back[кол-бЭк][ко:лбЭк]|перезвонить|=звонить + назад|recall~рикол вспомнить
calm[калм][ка:м]|спокойствие,спокойный,успокоить|в КАЛМыкии *спокойно колымят на калым/ ловлю КАЛЬМаров ладонями(palm~палм), это *успокаивает/КОЛыбельная Малышей *успокаивает/ *спокойный КАЛьМаров поставил мат в три хода сердитому крабову| calm-down[калм-даун][ка:мдаун]успокоиться/+вниз// quiet-down[кВаиэтдаун]успокоиться/=спокойный+вниз// settle-down[сетлдаун]успокоиться/=уладить+вниз// calmness[калмнэс][камнэс][ка:мнис]спокойствие только *спокойствие, КАМни вНИЗ падают на нас/-ness сущ состояние
cancer[кЭнсэР]|рак(болезнь)|КАНЦЕРогены у канслера гены вызывают *рак/от КАНСЕРв курящий *рак кончил *раком и отдал КОНЦЫ в воду|
candid[кЭндэд][кЭндид]|откровенный,честный,беспристрастный|+КАНДИДат занесён в красную книгу/*искренний КАНДИДат в президенты провел *откровенный диспут о налоге на воздух, молчать!|
candle[кЭндэл][кЭндл]|свеча|в КАНаДЕ КЕННеДи покупаЛ конфеты(candy~кэнди) и *свечи для нового года - там дешевле/*свеча это ед.изм света в КАНДЕЛах/КАНДЕлябр это под *свечник| candlestick[кЭндэл,стик][кЭндлстик]подсвечник/+палка
canvas[кЭнвэс]|холст|~КАНВАС в html для рисования на странице/КАНаВА возле коровника накрыта *паруСиной и ты туда провалился по пояс, ах/КОНь ВЕСелый нарисован на *холсте (потребитель с юмором, сидр пил)|
capable[кеипэбэл][кеипэбл]|способный-к|КАПАБЛанка *способный шахматист/=кепка+способный| incapable[ин'кеипэбэл][ин'кеипэбл]неспособный/in=не// capability[кеипэ'билэти][кеипэ'билити]способность,возможность/-ty сущ
capacity[кэ'пЭсэти][кэ'пЭсити]|способность/2,ёмкость,вместимость|+в кепку/=чашка+город| incapacity[инкэ'пЭсэти][инкэ'пЭсити]недееспособность,неспособность/in=не// capacious[кэ'пеишэс]вместительный
cape[кеип]|мыс|КЕЙПтаун = *мыс + городок(town~таун)/КАПИтан обогнул *мыс доброй надежды|
capital[кЭпэтэл][кЭпитэл][кЭпитл]|главный,большой,высший,капитал|%/*главный КАПИТАЛист в *столице делал КАПИТАЛЬный ремонт (плитку менял)/КАПИТАЛ *главный труд карла маркса/весь *КАПИТАЛ находится в *столице капиталистов|
