#Xing*2025 /3234(1700)родственных слов-В1/ сайт: en-ru-dict.github.io/ ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы или на englspace)
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#(слова имеют родственные в русском, можно запомнить по ФА, но не всё и не всем)
##====(пока недоделано!! надо лишнее убрать и отфильтровать)
#
abide [э'баид]|соблюдать,смириться,выносить|обиделся / abide эбайд абиде / не смог *вынести что на обиженных воду возят и АБИДЕлся|
 lay-down [леи-даун][леидаун]|сложить,установить(правило,норму)||
 lay-off [леи-оф][леиоф]|отвянь,уволить,сократить||
 lay-out [леи-аут][леиаут]|макет,выложить,разложить||
 layer [леиэр][леиэ]|слой|слоёный|
 layout [леи,аут]|макет,расположение||
lazy [леизи]|ленивый|не лезет куда не надо / ЛАЙЗА *ленивая лиза подлиза (lazy леизи) / lazy леизи лази / (замена з-н)*ЛЕНИвый не ЛЕЗЕт куда не надо / ЛАЙЗА *ленивая лиза подлиза|
 laziness [леизинэс][леизинис]|лень||
leather [леЗэр][леЗэ]|кожаный,кожа|лезет из * вон / leather лезэр леазер / ЛЕЗЕт он из *кожи вон|
leave [ли:в]|оставлять,уйти,покинуть|(left, left) / лив-жить / в ЛИВАне и ЛИВИи *жили *живые(live лив, лайв) мертвецы но *покинули(leave лиив), хренова там кормят и бомбят / leave лиив леаве / *ушли и *оставили тебя под ЛИВнем без зонта (лив-жить)(лайф-жизнь)|
leisure [лежэр][лижэр][лежэ]|досуг,отдых|лежа / leisure лэжэР лейсуре / свой *досуг я провожу ЛЕЖА в гРобу на кладбище|
length [леНкС][леНС]|длина|линейка / length леНкС ленГХТ / *линейка у ЛЕНКи Сломалась когда мерила *длину экватора на глобусе (написание просто тихий ужас!)|
 lengthen [леНкСэн][леНСэн]|удлинять||
lid [лид]|крышка|лидер тебе крышка / lid лид / ЛИДер по собиранию *крышек от фанты, тебе *крышка! (lead лид вести)|
lie [лаи]|лежать / 2,лгать,ложь|(lay, lain) / лай шарикова / ЛИЯ *лежит целыми днями на диване и *врёт как дышит (lie лай) / lay лей лаи / *положи ЛЕЙку и поЛАЙ на тучу чтобы дождик пошёл (lie лай лежать ложь) / lie лай лие / *лежит ЛАЙка и *врёт что собака друг человека / *ЛОжь у полиграфа полиграфовича шарикова вызывает ЛАЙ, отлезь гнида|
 tell-lies [теллаиз]|лгать,врать||
lifelong [лаи'флоН]|пожизненный|%|
 lifetime [лаиф,таим]|продолжительность-жизни,вся-жизнь||
light [лаит]|свет,зажигать|(lit, lit) / лайт версия свет легкий / light лаит лиГХТ / *светлый *легкий (ЛАЙТ версия значит облегченная)|
 lighter [лаитэр][лаитэ]|легче,зажигалка||
 light-up [лаит-эп][лаитАп]|зажечься,осветить,загореться||
 lighten [лаитэн][лаитн]|облегчить,светлеть,освещать||
 lightning [лаитниН]|молния|lightning лаитнин / *молния это светлование|
like [лаик]|нравиться,как / 2,похожий|нравиться лайкать / alike элаик алике / *одинаковый *подобно (like лайк похожий нравится) / like лаик лике / мне *нравится ЛАЙКать свои посты - себя не похвалишь, никто не похвалит / я наивный думал что ЛАЙКают если *нравится, а оказалось все накручивают! и глаза такие честные честные.. / love лав лове / ЛОВЕлас это *любовь(лав) и кружево(лас) / *любить ЛАВры и ЛАВровый венок (like лайк нравится любить)(lovely лавли прекрасный)(lover лэвэр любовник)|
 unlike [эн'лаик][Ан'лаик]|в-отличие-от||
 likely [лаикли]|вероятный,вероятно||
 unlikely [эн'лаикли][Ан'лаикли]|маловероятно,вряд-ли||
 likewise [лаи,кВаиз]|так-же,также||
 like-that [лаик-ЗЭт][лаикЗЭт]|вот-так||
 like-this [лаикЗис]|так,вот-так||
linen [линэн][линин]|шерсть,бельё / 2,льняная-ткань|линяет / linen линин / *ЛЬНЯНой *полотно *парусина *холст *белье линяет|
 bed-linen [бед'линин]|постельное-белье||
link [лиНк]|связь,звено,ссылка|линкор / ЛИНКольн *соединил нацию индейцев и понаехавщих тут всяких (link лиНк) / СИТИлинк - *большой-город(city сити) + *связь(link лиНк звено соединять связывать сцеплять) / link лиНк / президент ЛИНКольн *соединил нацию / ЛИНКор корабль охранял *звено кораблей|
 linkage [лиНкэдж][лиНкидж]|связь,связывание||
lip [лип]|губа|не дура прилипла / lip лип / *губы сЛИПлись от жажды, -дай пить, умираю(die дай)|
 lipstick [лип,стик]|помада,губная-помада||
list [лист]|список,перечислять|листаем / least лиист леаст / *наименьший список(list лист) вещей в походе / list лист / ЛИСТать *список / *перечень *реестр (least лиист наименьший)|
 listed [листэд][листид]|внесен-в-список,включённый-в-список||
 unlisted [эн'листид][Ан'листид]|не-внесенный-в-список,не-включённый-в-список||
listen-in-on [лисэн-ин-он][лиснинон]|подслушайте,подслушивать|%|
liver [ливэр][ливэ]|печень|ливерная колбаса / в ЛИВЕРпуле *жители едят ЛИВЕРную колбасу из *печени, она уже у них в *печёнках сидит (liver ливэр житель печень печенка)(деливери-доставлять) / liver ливэр ливер / ЛИВЕРная колбаса из *печени|
load [лоуд][лэуд]|нагрузка,грузить,груз|лодка / load лоуд лоад / ЛОДка возит *груз / *загрузить файл (save-сохранить)|
 reload [ри'лоуд][ри:'лэуд]|перезагрузить,перезагружать||
 overload [оувэр,лоуд][эувэлэуд]|перегрузка,перегружать||
 download [даун,лоуд][даун'лэуд]|скачать||
lobby [лаби][лоби]|лобби,вестибюль,фойе,прихожая|лоббисты в фойе / lobby лоби лобби / в *приемной ЛОББИсты бьются лбами об стенку|
lobster [лабстэр][лобстэ]|Омар,омар|лобстер|
lock [лак][лок]|замок,запирать|при локдауне заперли даунов, нашли скелеты / ШЕРлок холмс *делил(share шер) пополам *замок(lock лок) ладошкой как каратист, йаа.. / ОВЕРлок - *через(over оувэр) + *замок(lock лок) = швейная машинка для обмётки швов / ЛОКдаун - *замок(lock лок) + *вниз(down даун) = никого из дома не выпускают месяцами / lock лок лоцк / *замок *бЛОКирует дверь / *ЛОКон / ЛОКдаун|
 unlock [эн'лак][Ан'лок]|разблокировать,отпирать||
 lock-up [лак-эп][лок-Ап]|запереть,посадить-в-тюрьму,дурку|=запирать-вверх|
 locker [лакэр][локэ]|шкафчик,ящик,шкаф||
long-ago [лоН-э'гоу][лоНэ'гэу]|давно|длинный-тому-назад|
longevity [лон'джевэти][лон'джевити]|долговечность,долголетие|лонг-длинный|
look [лук]|смотреть,выглядеть|смотреть / look лук лоок / *смотрю как режут ЛУК и слезы текут / учёный кот и русалка *смотрят как у ЛУКоморья дуб спилили, теперь они бомжи / *гляжу в ЛУКойл цены на масло(ойл) растут / целясь из ЛУКа вы *смотрите в бинокль в далекую мишень, вы чувствуете усталось, голод и холод, вес тяжелого спортивного ЛУКа, отпускаете тетиву и четко *видите как стрела попадает в лягушку царевну / *взгляд *мнение *точка-зрения *выражение-лица *вид *внешность / seek сиик сеек / бешеный больной(sick-сик) пёСИК *ищёт кого бы укусить, и тут ты идёшь.. / больной(сик) *искал где поСИКать в кровать (look for - искать)|
 look-after [лук-Эфтэр][лук'а:фтэ]|присматривать-за,присматривать|за луком|
 look-around [лук-эр'аун][эр'аунд][лукэ'раунд]|оглянись-вокруг,посмотреть,оглядеть|%|
 shop-around [шопэ'раунд]|присмотреться-к-ценам,походить-по-магазинам|shop-around шапэраун / *присматриваясь-к-ценам вокруг да около|
 look-for [лук-фор][лукфо:]|искать|=смотреть-для / look-for лукфор / *ищу ЛУК ФОРмы кубика|
 look-forward [лук-форВэрд][лук'фо:Вэд]|ожидать,предвкушать|смотреть-вперед|
 look-back [лукбЭк]|оглянуться-назад,вспоминать|смотреть-назад|
 look-into [лук-инту][лук'инту:]|изучить,посмотреть,разобраться||
 look-out [лук-аут][лукаут]|высматривать,смотреть(опасность)||
 watch-out [Вочаут]|осторожно,смотреть(опасность)||
 look-*-up [лук-эп][лук-Ап]|искать,найти(в-списке)||
 look-down-on [лук-даун-он]|смотреть-вниз-на,смотреть-свысока||
lord [лорд][ло:д]|господин,господь-бог|лорд / lord лорд / *господин *господь *бог *владыка *повелитель это ЛОРД лодырь|
loss [лос]|потеря|лос-анжелес, лось рога золотые / в ЛОС-анжелесе *потерялась анжела девис и забыла своё имя (loss лос) / lose луз лосе / ЛУЗер всё *теряет и *проигрывает, потом вешается на ЛЮСтре (loss лос потерял)(lost лост потерянный) / loss лос лосс / лузер *потерял в ЛОС-анжелесе совесть / ЛОСь *потерял золотые рога / *потеря *пропажа *урон *проигрыш *убыток *ущерб *гибель|
lot [лат][лот]|много,жребий,судьба|лот лоторея / рыцарь КАМЕЛота ездил на *верблюде(camel кэмэл) *много(lot лот) раз / loot лут лоот / *добыча *шмот игроманы знают, пЛУТ в игре ищет ЛУТ (lot-много) / lot лот / в ЛОТорее *много билетов и тянут *жребий / на аукционе выставлено *много ЛОТов|
loud [лауд]|громкий|хлоп в ладоши / aloud элауд алоуд / *во-весь-голос *вслух *громко (loud-громкий ладоши) / loud лауд лоуд / *громко хлопаю в ЛАДоши (элауд вслух громко)(лоуд груз на лодке)|
 loudness [лауднэс]|громкость||
luggage [лэгэдж][лэгидж][лАгидж]|багаж|л=б % / luggage лагидж луггаге / (замена л-б) *БАГАЖ (почти похоже)|
luncheon [лэнчэн][лАнчэн]|обед,завтрак|ланчик|
lung [лэН][лАН]|легкое|акваланг / АКВАланг - *водный(aqua экВэ) + дышать лёгкими(lung лан лёгкие) под водой / lung лаН лунг / акваЛАНГ это (aqua экВэ вода) + *лёгкое(lung лаН), чтобы дышать под водой|
luxury [лэгжэри][лАкшэри]|роскошь|люкс / luxury лэгжэри, лакшери луксури / ЛЮКС это *роскошь / ЛЕГ И ЖРИ в *роскоши / ЛАКШЕРИ (новояз редкое)|
 luxurious [лэг'жэриэс][лАг'зьюэриэс]|роскошный||
lyrics [лирикс]|тексты-песен,текст-песни|лирической и это не лирика! / lyrics лирикс / *текст-песни ЛИРИЧеской (не ЛИРИКа)|
magazine [мЭгэ,зин][мЭгэ'зи:н]|журнал|в-магазине / magazine мэгэзин магазины / МАГАЗИН наполнен *журналами с картинками для малограмотных (а магазин это шоп, сторе)|
magician [мэ'джишэн]|волшебник,фокусник|магия / magician мэджишен магициан / *фокусник последний из МОГИКАН, показал МАГИЧеский фокус с МАГнитом / *волшебник *МАГ|
maid [меид]|служанка,горничная|меид-сделал / maid меид маид / все *горничные вышли на МАЙДан раздавать печеньки, (made меид сделал)|
 maiden [меидэн][меидн]|дева,девственница|на майдане стала старой девой|
mainland [меин,лЭнд][меинлэнд]|материк,большой-остров|=главная земля|
major [меиджэр][меиджэ]|главный,большой|майор мажор / major мейджэр майор / МАЙОР был *большой МАЖОР / *старший *главный / mayor меиэр майор / наш *мэр МАЙОр и следит за всеми через камеры домофоны и телефоны (major мейджэр старший главный)|
 majority [мэ'джорэти][мэ'джорити]|большинство|мажоритарный / majority мэджорити / *большинство МАЖОРИТАрных мажоров были обжоры / minority майнорэти / *меньшинство (majority мэджорэти большинство)(минорная нота мажор майор)|
male [меил]|мужской|фемейл-женский, меил-почта / female фимейл фемале / *женская *женщина *самка это ФЕМИнистка (male-мужской) / mail меил маил / *почта это МЫЛо (сленг)(male меил мужской самец) / male меил мале / *мужской *мужчина *самец был МАЛЕц / у *мужика был МАЛЕнький (mail меил почта)|
mall [мо:л]|торговый-центр|слишком мал / shopping-center шапинсентер / *торговый-центр (mall мол место для прогулки)|
marry [мери][мЭри]|жениться,выйти-замуж|мери-веселый / МЭРИ *весёлая(merry мери) наконец то вышла *замуж(marry мэри) и на пенсию / marry мэри марри / *весёлая(merry мери) МЕРИ Попинс вышла *замуж за попа и попалась / княжна МЭРИ *вышла-замуж за князя из грязи / регистрироваться в МЕРИи стало модно, толпы учеников школы осаждают МЕРИю - не хотят учиться, а хотят *жениться! а подала эту идею МЕРРИ поппинс до свиданья|
 marriage [меридж][мЭридж]|свадьба,брак|marriage меридж марриааге / МЭРИ и ДЖон заключили *брак по расчёту и нарожали дебилов|
 married [мерид][мЭрид]|женатый,женат,замужем||
 marital [мерэтэл][мЭритл]|супружеский||
marsh [марш][ма:ш]|болото|марш-бросок утонули / бог / marsh марш / при МАРш броске через *болото все утонули! (bog бог болото)|
 marshy [марши][ма:ши]|болотистый,болотный||
match [мЭч]|соответствовать,соответствие / 2,спичка|матч? / match мэч матч / для МАТЧа с драконом *подбирать МЕЧ кладенец / этот договорной МАТЧ *соответствует ожиданиям, делайте ставки! / *спичка проМАЧилась / much мач муч / этот МАтЧ века посмотрело *много телепузиков (match мэч спичка пара матч) / МАЧеха *много МУЧила золушку / у МАЧо *много денег(мани а мэни-много)|
 mismatch [мис,мЭч][мис'мЭч]|несоответствие||
mate [меит]|приятель,товарищ,компаньон|сапожника материться как сапожник / mate меит мате / *товарищ поставил тебе трехэтажный *МАТ в три хода и дал в глаз / *товарищ сапожника МАТЕрится как сапожник без сапог (мейд горничная на майдане *товарищам печеньки раздавала)|
 classmate [клЭс,меит][кла:смеит]|одноклассник||
 roommate [ру,меит][ру:ммеит]|сосед-по-комнате||
maternal [мэ'тэрнэл][мэ'тэ:нл]|материнский|%%|
 maternity [мэ'тэрнити][мэ'тэ:нити]|материнство||
matter [мЭтэр][мЭтэ]|вещество,материя / 2,дело,вопрос / 3,иметь-значение|% вотэ-мэтэ-что-за-на? / matter мэтэр маттер / МЭТЕРиалы *дела вели колобки / тёмная МАТЕРия это загадчное *вещество, но увидеть можно только третьим глазом! / *вопрос *предмет|
may [меи]|может,пусть / 2,можно / 3,май|% / may меи маи / *МАЙ (похоже) / товарищ МАЙор *разрешите обратиться? *можно машку за ляшку?|
meadow [ме,доу][медэу]|луг|медовый / meadow медоу меадов / МЕДОВый *луг / каток в МЕДЕО превратили в *луг с коровами на льду|
meal [ми:л]|еда|мит-мясо / meal миил меал / МИЛая готовит *еду / МЕЛ с доски тоже *еда для голодающего студента / МИЛ-еда, милк-молоко мит-мясо / meat мит меат / на МИТинге голодные орут *мяса! *мяса! и встречаются(meet мит) с омон (meal мил еда)|
mean [ми:н]|иметь-в-виду,иметь-в-виду / 2,означать / 3,предназначать / 4,неважный,посредственный|(meant, meant) / министр / mean мин меан / кислая МИНа *посредственного МИНистра финансов *означает что нам капец! / *скупой *думал что МИН нет и МИНовал *середину широкого брода с крокодилами (но подорвался на мине и они его съели)(means минз устройство средство)|
 meaning [ми:ниН]|значение|meaning миниН меанинг / не имеет *значение, что он умер от МЕНИНГита, запишем что от ковида - заплатят больше|
 meaningful [миниНфэл][ми:ниНфул]|значимый||
 meaningless [миниНлэс][ми:ниНлис]|бессмысленный||
 means [ми:нз]|означает,средство|mean мин меан / кислая МИНа *посредственного МИНистра финансов *означает что нам капец! / *скупой *думал что МИН нет и МИНовал *середину широкого брода с крокодилами (но подорвался на мине и они его съели)(means минз устройство средство)|
 meantime [мин,таим][ми:н'таим]|тем-временем||
 meanwhile [мин,Ваил][ми:н'Ваил]|тем-временем||
measure [межэр][межэ]|измерять,измерение / 2,мера,мероприятие|межа / measure межэР меасуре / *измерять и МЕЖЕвать МЕЖУ пашни / *измерить объём воды МЕнЗУРкой|
 measurement [межэрмэнт][межэмэнт]|измерение,замер||
 measurable [межэрэбэл][межэрэбл]|измеримый,измеряемый||
 immeasurable [и'межэр,Эбэл][и'межэрэбл]|неизмеримый,безмерный||
mediator [миди,еитэр][ми:диеитэ]|посредник|медиатор гитары палец-струна|
 mediate [миди,еит][ми:диит]|посредничать|медиум с духами / mediate мидиеит медиате / МЕДИАТор гитары *был-посредником между пальцами и струной|
 mediation [ми:ди'еишэн]|посредничество||
medieval [ми'дивэл][мид'йивэл][меди'и:вэл]|средневековый|мид-середина|
medium [ми:диэм]|середина,средство,способ|медиум? / medium мидиэм медиум / МЕДИАна это *средняя линия / *среднего роста был МЕДИУМ и всех дурил разными *способами / *средство / middle мидэл миддле / МЕДАЛи вешал на *середину груди (medium мидиэм средний медиана)|
meet [ми:т]|встретиться,встретить,познакомиться|(met, met) / митинг / МИТя на МИТинге голодающих кричит *мяса! *мяса(meat мит) и *встречается(meet миит) с омон / meat мит меат / на МИТинге голодные орут *мяса! *мяса! и встречаются(meet мит) с омон (meal мил еда) / meet миит меет / (met, met) *встретились на МИТинге МИТя и петя и пошли на петинг (meeting митиН встреча)|
 meeting [ми:тиН]|встреча|meet миит меет / (met, met) *встретились на МИТинге МИТя и петя и пошли на петинг (meeting митиН встреча)|
melon [мелэн]|дыня|большой лимон / у МЕЛОНова *дыня вместо головы (melon мелэн дыня) / melon мелэн мелон / МЕЛлиОН желых *дынь из окна видишь ты, аж в глазах рябит (большой lemon)|
 watermelon [Вотэр,мелэн][Во:тэ,мелэн]|арбуз|watermelon Вотэрмелэн / *арбуз это вода + дыня|
melt [мелт]|таять,плавиться|мел тает / melt мелт / в МЕЛовом периоде земли *Таяли ледники и все динозавры утонули! кроме птиц - они улетели, сам видел :) / поддельная из МЕЛа Таблетка *растаяла в руке|
 meltdown [мелт,даун]|крах,расплавление||
member [мембэр][мембэ]|член|полютбюро посетил мемориал на берегу / member мембэр / МЕМориал на БЕРегу посетили *участники парада памяти(мемори) и *члены политбюро / remember римембер ремембер / *помнить (memory мемэри память)(member мембэр член)|
 membership [мембэр,шип][мембэшип]|членство||
menace [менэс][менис]|угроза,угрожать|министерство счастья * убить всех несчастных / menace менис менасе / МЕНИСтерство счастья *угрожает убить всех несчастных и недовольных! (нет человека, нет проблемы)|
mend [менд]|исправить,чинить,поправлять|менделеев таблицу / МЕНДелеев *чинит таблицу МЕНДелеева (mend менд) / mend менд / МЕНДелеев *чинит кровать после того как ему приснилась таблица МЕНДелеева|
mention [меншэн]|упомянуть,упоминать|о меньшинствах / mention меншен ментион / толко геи *упоминают о секс МЕНЬШИНствах, остальным ваще пофиг|
 mentioning [меншэниН]|упоминание||
mentor [мен,тор][ментэр][менто:]|наставник|ментор=монитор / mentor ментор / *наставник МЕНТа был обОРотень в погонах (monitor монитэр наставник староста)|
merry [мери]|веселый|замуж / МЭРИ *весёлая(merry мери) наконец то вышла *замуж(marry мэри) и на пенсию / marry мэри марри / *весёлая(merry мери) МЕРИ Попинс вышла *замуж за попа и попалась / княжна МЭРИ *вышла-замуж за князя из грязи / регистрироваться в МЕРИи стало модно, толпы учеников школы осаждают МЕРИю - не хотят учиться, а хотят *жениться! а подала эту идею МЕРРИ поппинс до свиданья / merry мери мерри / *радостная МЭРИ наконец то выходит замуж(мэри) и на пенсию|
 merriment [меримэнт]|веселье||
mesh [меш]|сетка|это мешок авоська для овощей / mesh меш / МЕШок для *западни из *сцепленных тросов для годзиллы|
mess [мес]|беспорядок,путаница|месиво / mess мес / МЕСиво это *бардак в бардачке и МЕСто для *общего-питания / *беспорядок и *путаница это МЕСиво (mash мэш *разминать *месиво МЕШанина)|
 mess-up [мес-эп][месАп]|испортить,накосячить||
 mess-with [мес-ВиЗ][месВиЗ]|связываться-с,возиться,связываться||
metropolitan [метрэ'палэтэн][метрэ'политэн]|столичный|метрополитен? / metropolitan метрэпалэтэн / МЕТРОПОЛИЯ это *столица / *столичный МЕТРОПОЛИТЕН - *городской вид транспорта - метро для вежливых (polite)|
mid [мид]|середина,полу-|медиана|
 middle [мидэл][мидл]|середина,средний|amid эмид амид / *между *посреди (middle мидел середина медиана) / middle мидэл миддле / МЕДАЛи вешал на *середину груди (medium мидиэм средний медиана)|
 midnight [мид,наит]|полночь|midnight миднаит / =середина(мид) ночи(найт) / в *полночь МИД обратился к населению - НАЙТи срочно фонарики и помахать ими|
 midday [мид,деи]|полдень||
 midst [мидст][мист]|посреди,середина,среда||
midwife [мид,Ваиф]|акушерка|=средняя-жена|
might [маит]|мощь|%% may-можно / might майт миГХТ / (замена а-о ж-вставили) *МОЖеТ|
 mighty [маити]|могучий,могущественный||
 almighty [о:л'маити]|всемогущий||
mild [маилд]|мягкий|милая девушка / mild маилд милд / МиЛая Девушка *тихая и *мягкая писала на почту(маил) самцу(маил)|
mileage [маилэдж][маилидж]|пробег|миля+возраст|
mince [минс]|фарш,крошить,рубить|минск из мин / mince минс минсе / в МИНСке *измельчают *фарш из МИН и подорвавшихся на МИНах для поМИНок|
 mincer [минсэр][минсэ]|мясорубка||
mind [маинд]|разум,возражать|мозг? / mind маинд минд / *разум *ум простудил на морозе это МИНингит / МИНДелеев имел большой *ум и изобрел водку (brain браин мозг ум)|
 mindful [маиндфэл][маиндфул]|внимательный,помнящий||
 mindless [маиндлэс][маиндлис]|бессмысленный||
minor [маинэр][маинэ]|незначительный,второстепенный,незначительный / 2,несовершеннолетний|минор-мажор / minor маинэр минор / МАЙНЕР *незначительно разбогател пока не поймали / МИНОРная нота (майн-главный)|
 minority [маи'норэти][мэ'норэти][маи'норити]|меньшинство|миноритарный / minority майнорэти / *меньшинство (majority мэджорэти большинство)(минорная нота мажор майор)|
mint [минт]|мята|ментол / mint минт / (убрали н) *МЯТа МЕНТол *мятный (немного похоже) / *выдумывать *происхождение|
miracle [мирэкэл][мирэкл]|чудо|мираж / miracle мирэкэл миракле / увидел *чудо, но это был МИРАЖ в пустыне, обман зрения|
 miraculous [мэр'Экьэлэс][ми'рЭкьюлэс]|чудесный,чудотворный||
miserable [мизэрэбэл][мизрэбэл][мизэрэбл]|убогий,несчастный,жалкий|мизерный / misery мизэри / твои *страдания МИЗЕРнЫ, надо добавить! (miserable мизэрэбэл *несчастен)|
 misery [мизэри]|невзгоды,несчастье,страдание / 2,нищета|мизер денег / misery мизэри / твои *страдания МИЗЕРнЫ, надо добавить! (miserable мизэрэбэл *несчастен)|
miss [мис]|пропускать,упустить / 2,скучать|по-миске-супа / miss мис / МИСС красоты постигла *неудача *осечка *промах *потеря совести и *отсутствие мозгов, она выбросилась из окна в расцвете сил.. / МИС вселенная *тоскует по МИСке супа|
 missile [мисэл][мисаил]|ракета|мис-промах|
 missing [мисиН]|пропавший,отсутствующий||
mist [мист]|туман|мистический, фог / mist мист / МИСТический *туман окутал бермудский треугольник и мы пропали без вести|
 misty [мисти]|туманный||
mistake [ми'стеик][мис'теик]|ошибка|промах+брать / mistake мистейк мистаке / мис-промах тейк-взять = *ошибка *заблуждение / МИСТИчЕсКие *ошибки природы ходят по улицам и очень похожи на людей.. / МИСТИчЕсКая *ошибка, то есть, то нет|
 mistaken [ми'стеикэн][мис'теикэн]|ошибочный,ошибающийся||
 mistakenly [ми'стеикэнли][мис'теикэнли]|по-ошибке,ошибочно||
 mistake-for [ми'стеик-фор][мис'теикфо:]|ошибка-для,принимать-за|по ошибке|
 take-for [теикфо:]|принять-за,принимать-за||
mistress [мистрэс][мистрис]|госпожа,хозяйка / 2,любовница|мис стрес пережила / mistress мистрис мистресс / МИС *хозяйка пережила СТРЕСС и всех вас ещё переживёт|
monk [мэНк][мАНк]|монах|кормили манкой,  ложку за папу римского / monk манк монк / *монах ест МАНКу - ложку за маму, ложку за папу(римского)(monkey манки мартышка)(мэн-человек)|
mood [му:д]|настроение|испортил мудак / mood муд моод / грязные(mud мад) МУДаки испортили *настроение|
 moody [му:ди]|капризный,капризный / 2,унылый|moody муди мооди / *унылый *угрюмый МУДИло съел кадило / муди это титьки (жаргон) / mud мад муд / МУДак *грязный тип (mad мэд сумашедший бешеный)(moody муди унылый угрюмый)|
mount [маунт]|устанавливать,гора / 2,монтировать,устанавливать / 3,подниматься,забираться|монтер / параМАУНТ *монтирует кино про пару *гор и мамонтов (mount холм взбираться восходить подниматься устанавливать) / mount маунт моунт / МОНТёр *залез на столб и сказал - да будет свет! и перерезал провода / *ремонтировал *установил|
 mountain [маунтэн][маунтин]|гора,горный|в МОНТАНе *множество *гор (mountain маунтэн) / mountain маунтэн моунтаин / штат МОНТАНа - *куча *гор (хил-холм рок-скала)|
 mountainside [маунтэн,саид][маунтинсаид]|склон-горы,горный-склон||
 mountainous [маунтэнэс][маунтинэс]|гористый||
move [му:в]|двигаться,переезжать|motion моушэн мотион / локоМОТИв в *движении (move мув двигаться) / МОТай отсюда и уМАТывай = *движение / move мув мове / МУВики это картинки *двигаются (movie муви фильм движуха)(movement мувмэнт движение)|
 move-out [мув-аут][му:ваут]|съезжать,съехать,выселиться||
 move-in [му:вин]|переехать,въехать,вселиться||
 move-over [мув-оувэр][му:в'эувэ]|подвинься,подвинуться||
 movie [му:ви]|фильм,кино|мувики / move мув мове / МУВики это картинки *двигаются (movie муви фильм движуха)(movement мувмэнт движение)|
 movie-house [му:вихаус]|кинотеатр||
multiple [мэлтэпэл][мАлтипл]|несколько,множественный,неединичный|мультивселеная, мультики / multiple малтипэл мултипле / *множественная МУЛЬТИвселенная / в МУЛЬТИПликации *множество картинок (multiplication малтипликейшен умножение множества)|
 multiply [мэлтэ,плаи][мАлтиплаи]|умножать,размножаться|multiply малтиплаи мултипли / *умножать (МУЛЬТИ-много, МУЛЬТфильм это много картинок)|
 multiplication [мэлтэплэ'кеишэн][мАлтипли'кеишэн]|умножение|multiple малтипэл мултипле / *множественная МУЛЬТИвселенная / в МУЛЬТИПликации *множество картинок (multiplication малтипликейшен умножение множества)|
 multitude [мэлтэ,туд][мэлтэт,ьюд][мАлтитью:д]|множество||
murky [мэрки][мэ:ки]|мутный,тёмный|су-мерки / murky мэрки мурки / искали *темную МУРКУ в *темной комнате / сМЕРКАлось *темный *мрачный *пасмурный (murk мрак)|
murmur [мэрмэр][мэ:мэ]|шум,ропот,журчание|мур-мур кошка журчит / murmur мэрмэр мурмур / кошка *журчит и МУРлыкает когда её гладят / МУРка *шепчет МУРзику - купи мне журнал МУРзилку с картинками котиками / rustle рэсэл рустле / огурчики в РАССОЛе хороши - *хрустят во рту / *шелест *шорох *шуршание *шелестеть (murmur *шелестеть журчать)|
mushroom [мэшрум][мАшрум]|гриб|маршируют / mushroom машрум мушроом / МАрШиРУеМ за *грибами (рум комната)|
mute [мью:т]|немой,беззвучный,не-говорящий|мутант / орнела МУТИ была *немая(mute мьют) и строила глазки челентано / mutter мэтэР муттер / МАТЕРшиник *бормочет и *ворчит (mute мьют немой мутит воду)|
 muteness [мью:тнис]|немота||
 mutter [мэтэр][мАтэ]|бормотать,бурчать|материться / mutter мэтэР муттер / МАТЕРшиник *бормочет и *ворчит (mute мьют немой мутит воду)|
muzzle [мэзэл][мАзл]|морда,намордник|вмазал / muzzle мэзэл муззле / вМАЗАЛ в *морду|
mystery [мистэри]|тайна|мистерия / mystery мистэри / *таинственная МИСТЕРИя|
 mysterious [ми'стириэс][мис'тиэриэс]|загадочный||
nail [неил]|гвоздь,прибивать / 2,ноготь|нейлон колготки / у НЕЛИ красивые *ногти и дорогущие НЕЙЛоновые колготки (nail неил) / nail неил наил / дорогущие НЕЙЛоновые колготки зацепились за *гвоздь, ааа|
naked [неикэд][неикид]|голый|накидка, нудисты / naked неикид накед / *голый король в прозрачной НАКИДке / НАГой с одной ногой|
 nakedness [неикиднэс]|нагота||
name-after [неим-Эфтэр][неим'а:фтэ]|имя-в-честь,назвать-в-честь||
napkin [нЭпкин]|салфетка|на пол кинул|
narrate [не,реит][нэ'реит]|повествовать,рассказывать|нарротив / narrate нереит наррате / НАРРОТИв *рассказывать, погугли что это|
 narrative [нЭрэтив][нерэтив]|повествование,рассказ,повествовательный||
 narration [не'реишэн][нэ'реишэн]|повествование,пересказ||
narrow [нЭроу][нероу][нЭрэу]|узкий|нора / narrow нэроу нароу / *узкая НОРА У кролика, вини пух застрял!|
 narrowness [нероунэс][нЭрэунис]|узость||
naughty [но:ти]|непослушный|нотации / naughty ноти науГХти / *непослушный слушал НОТациИ|
