g_fa=`
## 600 базовых английских слов по ассоциациям (мнемотехника)
#
# Xing*2025/ Это минимальный словарный запас. (уровень примерно A1) Слова отсюда britlex.ru и др + амер.тр + гугл перевод + лучшие ФА из всех источников и мои
# Сайт: en-ru-dict.github.io/ютюб: m.youtube.com/@en-ru-dict (пишите там отзывы)
# Есть словоформы: сущ.(-tion -sion -ty -nce -ment -ness-состояние -ship-корабль -ing-процесс-глагола -er(-or)-исполнитель, тот кто это делает)/ гл. (-fy -en)/ нареч. (-ly)/ прил. (-y -ous -full-полный-чего-то -able-способный -ed-уже-сделанный )/нет(im- in- ir- un- dis- -less-без-этого)
#
# 612 базовых английских слов которые можно запомнить по ассоциациям, они имеют родственные рус слова и произошли от английских или общих латинских, частично похожи по написанию или звучанию, обозначают другое, но на ту же тему и логически связаны! Если воображение плохое, то ищите или рисуйте картинки в Chat GPT. Авторских прав нет, если кто что возьмёт отсюда, то пишите ссылку на этот сайт. Иногда есть повторы. Учить лучше через АнкиДроид + гугл переводчик для озвучки, ФА в переводе на англ это как контекст. В карточках tem-mem старый формат, там ФА из общей кучи, а здесь и в 3700 новые получше. 
# Как учить: Включаем всё актёрское мастерство, представляем сцену где ты главный герой, ногами руками и всем чем можно изображаем это действие, издаём звуки ааа, брр, ох, ой итд, по возможности ярко представить цвета, запахи, тепло-холодно, кисло-сладко, мурашки по коже, смешно-грустно-страшно (Для убедительности можно побегать, попрыгать, полаять, съесть перчик, чеснок, обморозить/обжечь пальчик итд) Прочитать вслух звучание, написание, перевод и ассоциацию, на каждое слово надо примерно 20-60 сек. Сыграть сценку как в театре, чем реалистичней тем лучше запомнится. Если просто сидеть и читать, то ничего не запомнится! Надо всё время двигаться - час учить, 10 мин отдых и снова, и ещё по 20+ мин тренировать воображалку и 7 каналов памяти. Это очень важно для этого способа! 
# В интернете мало качественных ассоциаций. Создать смешную и запоминающуюся историю не так просто как кажется. Нужен талант писателя лингвиста юмориста! Обычная быстро забудется и смешается с остальными обычными. Все кто пишет что ассоциации не помогают, лишняя лабуда и вредно, это как раз про обычные типа *вершина ТОПоля, а необычные оставляют яркий след как анекдот, комедия, триллер или ужастик. После пары часов изучения этим методом, у вас должен быть усталый и счасливый вид, как будто вы провели весь день в парке развлечений и на всём с визгами покатались, потом пошли в зоопарк и всё везде посмотрели, удивились и ахнули, и наконец сами поучаствовали в кровавом боевике, падали в пропасть, переходили брод с крокодилами и за вами гнались зомби и чуть не съели! (и можно это потом рассказать другим, похвастаться и чтобы они тоже посмеялись)
# Также есть ~1000 похожих слов типа банк, музей, балкон, они по написанию копия, но звучат немного по другому, если по правилам, то учить проще, но если исключения то просто запомнить! Ещё ~2000 это словоформы образованные предлогами, суффиксами и окончаниями, они означают примерно тоже, но есть исключения - их учим отдельно, на них ФА к одному главному слову, к остальным необязательно, ещё ~1000 слов выучить через ФА сложно, но можно если потренироваться, ещё к ~1000 слов ФА есть, но запомнить такое нереально, там нескладно и звуки на много слов, ещё к ~1500 слов ФА придумать нельзя, нет похожих слов, их учите по карточкам как обычно или нужна мега ФА, ~800 слов известны со школы почти всем, ФА к ним есть, но лучше вспомнить(учить) через патерны и примеры. С картинками есть приложение для андроид (английский по ассоциациям) и две книги Матюгин и Гарибян, но ФА там похуже, часть ненужные редкие слова, устарело и 18+, есть ещё пара книг без картинок, но там ФА так себе, есть лучше и бесплатно. Если созвучных похожих рус.слов много, то можно придумать свою ФА быстро, а если мало, то надо вспоминать слова и перебирать и устанете! Если их нет, то желание учить вообще пропадёт! А здесь халява, готовые, прикольные и смешные попадаются, но помогает увы не всем, так что пробуйте разные способы и выбирайте какой вам лучше подходит! Жаль картинок пока мало, с ними намного лучше запоминается, их надо всем вместе рисовать и обмениваться, потом бесплатную книгу или учебник сделать. Слова в основном стырили из английского (латинского) по написанию, по звучанию реже, а в русском в основном как пишеца так и читаеца, а в английском наоборот! читается по отдельным правилам, редко есть исключения. И для слова balcony~бэлкэни не надо сочинять про бал и кони и так видно что это балкон, а для топ есть топ-менеджер, а не вершина тополя
#
# %-похоже, %%-немного-похоже ŋ=Н θ=С ð=З w=В æ=Э ʌ=А Р-амер аи=ай
# Все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте или переделайте! Ещё см. 3700 слов.
#
# формат: word [звучание] | перевод | ФА1 / ФА2 | похожие чем-то // ещё похожие
a [э] | артикль =некий | без артикля это глагол наречие или прилагательное |
change [чеиндж] | изменять | чунга ЧАНГЕ *поменяли пол, теперь он белый и пушистый / другому чунга ЧАНГЕ *поменяли золото на бусы и дали *сдачу в глаз |
let [лет] | позволять | +ЛЕТать во сне и наяву / *позволить спросить сколько даме ЛЕТ? а она как даст сумкой по башке / *позволить ЛЕТать рожденному ползать |
run [рАн] | бежать,бегать | +в рестоРАН отдыхать(rest~рест) / ученые РАН *бегают РАНо утром по РАНчо, кто не сдаст нормы гто - сбрасывают со скалы как спартанцы / заРАНец *бежит с РАНцем в школу, а дипломат с дипломатом | running~раниН бег беготня // runny~рани жидкий текучий
write [раит] | писать | братья РАЙТ *писали правой(right~райт) рукой про самолеты / не ВРИТЕ что левша и *пишите правой(right~райт) рукой как курица лапой | write-out~раитаут выпиши // writer~раитэр писатель копирайтер
keep [кип] | держать,хранить | +вебмани в КИПере на КИПре в офшоре |
hold [хэулд] | держать,удерживать | ХОЛДинг *держит пакет акций под подушкой |
repeat [ри'пи:т] | повторить | на РИПИТиции еще раз *повторим - повторенье мать ученья |
put [пут] | класть,помещать | рабочие *кладут ПУТи трамвая / ПУТану *положили на кровать.. и заПУТались (что с ней делать надо?) |
end [енд] | заканчивать,конец | уикЕНД - неделя(week~уик) + *конец = завершение недели, выходные / хэпиЕНД - счастливый(happy~хэпи) + *конец |
study [стАди] | учиться,изучать | СТУДЕнты *изучают *исследование / СТАДО баранов из соседней школы плохо *учатся на дворников |
hear [хиР][хиэ] | слышать | +хирово, уши мыть надо! / у ИРы большие уши(ear~ир) чтобы хорошо тебя *слышать / глуХИЕ не могут *слышать, у них даже нет ушей(ear~иэ) / h+ear(ухо)=слышать | here~хир,хиэ сюда здесь
teach [ти:ч] | учить | ТЫЧет тебя носом в учебник учитель(teacher~тичэР), когда *обучает |
close [клэуз][клоус] | закрывать,закрыть/2.близко,почти | *тесный КЛОЗЕт *закрыт (closet~клозит шкаф уборная) | closure~клоужэр закрытие // cloth~клоС *одежда *закрывает от холода // clause~клоз / в КЛЯУЗЕ был *пункт и *оговорка что я не я и лошадь не моя / в *статье написано,что цирк уехал а КЛОУны осталиС
open [оупэн] | открыть | *Открыл ПЕНал ручками с ручками закорючками / шОПЕН *открыл магазин(shop~шоп) оперы и балета / ОПЕНгеймер был геймер и *открыл атомную бомбу и доигрался |
add [Эд] | добавлять | ЭДик в АДу *прибавил в весе (хорошо кормят бесы) | addition~эдишэн сложение // subtract~сэбтрэкт вычитать учили собаку в трактире
love [лАв] | любовь,любить | ЛОВЕлас = *любовь и кружево(lace~лейс лассо леска шнурок) / *любить ЛАВе(бабки) ЛАВры и ЛАВровый венок | like~лайк нравится любить // lovely~лавли прекрасный // lover~лэвэр любовник
believe [би'лив] | верить,полагать | *верить в изоБИЛИе В раю / =быть живым |
read [рид] | читать | картРИДер *читает флэшкарты / РЕДактор *читает и исправляет / поРИДели РЯДы *читающей в телефоне молодежи, они все спятили и превратились в овощи | rid~рид освобождать избавлять-от // reed~рид тростник
mean [мин] | значить,иметь-в-виду | кислая МИНа *посредственного МИНистра финансов *означает что нам капец! / *скупой *думал что МИН нет и МИНовал *середину широкого брода с крокодилами (но подорвался на мине дважды и они его съели) | means~минз устройство средство
pay [пеи] | платить | ПЕЙпал = *платить + приятель(pal~пэл друг сотоварищ) / покуПАЙ и *плати | payment~пеимэнт плата взнос вознаграждение зарплата / -ment сущ // pie~пай пирог
stand [стЭнд] | стоять | у СТЕНДа СТЭНДапера *стоит толпа на ушах и ржёт / *терпеть *выносить |
understand [АндэР'стЭнд] | понимать | +сказки АНДЕРсона СТАНДартно / = андер-под + стэнд(киоск ларёк остановка) = читать объявления на остановке и *понимать что дело труба |
learn [лёРн] | учиться | ЛЕНь *учиться, хочу жениться / ЛЁНя бережно *учит нас ЛЕНи и застою | learning~лёРниН учение / ЛЕНИН говорил: учиться учиться и ещё раз учиться, *ученье свет а неучёных тьма!
sit [сит] | сидеть | т=д *СИДеть % | seat~сит сиденье место билет
win [Вин] | победить,побеждать | гудВИН - хороший(good~гуд) + *выиграл изумрудный город в карты и *победил злую ведьму / ВИНи пух *победил(win~Вин) пчёл и разнёс всё в пух и прах |
break [бреик] | ломать,перерыв | на *переменке танцевала БРЕЙК данс без тормозов(brake~брейк) и БРЫКалась и *ломалась (но её *уломали) | brake~бреик БРАКованный *тормоз *сломался(break~брейк), ааа, мы все умрём! // broken[броукэн]сломанный
lose [луз] | терять,проигрывать | в ЛУЗиане живут ЛУЗеры и всё *теряют и *проигрывают, потом вешаются на ЛЮСтре | loss~лос / в ЛОС анжелесе *потерялась анжела девис и забыла своё имя // lost~лост потерянный // loose~лус свободный просторный
watch [Воч] | смотреть | +В ОЧи черные жгучие / В ОЧках *следить *наблюдать время в *наручных-часах / ВО *Часы-наручные какие у меня ролекс за миллион, купил на вокзале у цыган по акции со скидкой |
speak [спи:к] | говорить | *говорит и *выступает СПИКер | speaker~спикэр оратор говорун // speech~спич речь СПИЧрайтера
stop [стоп] | останавливать | *остановиться у *остановки возле знака СТОП |
walk [Во:к] | идти-пешком,ходить | +впоВАЛКу (л-немая) / пёс *гулял ВОКруг леса, птичек ловил, недалеко *ходил ВОЛК -шо, выгнали? (мульт) | work~Вёк работа труд
cut [кАт] | резать | КАТер *режет воду / *резать на лосКУТки / коньки *режут лёд на КАТке | cutter~катэ резчик // acute~экьют остроконечный острый
wait [Веит] | ждать | +конца сВЕТа, как солоВЕЙ леТа / блондинка *ждала конца сВЕТа в конце туннеля, а встретила динозавра / куВЕЙТ *ждет бури в пустыне | weight~Вейт вес // wet~Вет влажный
kill [кил] | убийство,убивать | КИЛлер *убивает дилера |
buy [баи] | покупать,купить | БАЙ *купил батраков на плантации | buyer~баиэр покупатель // by~бай предлог при // bye~бай пока
remember [ри'мембэР] | помнить | =ре-повторно + (memory~мемэри память) (member~мембэр член) |
die [даи] | умереть | ДАЙ воды, *умираю / на ДИЕте так жрать охота, *умираю, корову бы съел / маст-ДАЙ (сленг) = должен(must~маст) *умереть(die~дай) |
answer [ЭнсэР][а:нсэ] | отвечать | АНСАмбль *ответил на глупые вопросы фанатов |
fight [фаит] | драться | *бой *бороться (flight~ФлАЙТ полёт истребителей в воздушном *бою) | fright~фрайт *испуг *страх в *полете и воздушном *бою
pull [пул] | тянуть | врач *вытянул ПУЛю из тебя, жить будешь / *тяну тяжелый ПУЛемет и толкаю(push~пуш) огромную пушку, всех убью один останусь |
paint [пеинт] | рисовать,краска | ПЕЙНТбол - стрельба *краской |
eat [ит] | есть,кушать | +с *ЕсТь % / ИТальянцы *едят макароны с ушей |
listen [лисэн] | слушать | ЛИСЁНок *слушает урок(lesson~лесэн) лисы в лесу, в одно ухо влетает, из другого вылетает |
smile [смаил] | улыбаться | СМАЙЛик это *улыбка до ушей хоть завязочки пришей |
save [сеив] | сохранять,спасать | в СЕЙФе *берегут *сохраняют безопасно(safe~сейф) | safe~сейф *надёжный и *безопасный СЕЙФ за миллион благополучно(safely~сейфли) открыли скрепкой // safety~сейфти безопасность надежность // savior~сеивйэр спаситель
choose [чу:з] | выбирать | +сыр(ЧИЗ) из 100 сортов самый дешевый из пластилина и красителей |
sleep [слип] | спать | СЛИпаются глазки, пора *спать и видеть *сон | sleepy~слипи сонливый сонный // slip~слип *скользить в липкой грязи, подскользнулся на ровном месте и сразу *заснул(слип) навеки // asleep~эслип *спящий ОСЛЕП во сне
travel [трЭвэл] | путешествовать | +и *передвигаться по ТРАВЕ на ВЕЛеке / шпион в *путешествии ТРАВИЛ новичком инагентов | trip~трип поездка поход
fill [фил] | наполнять | чувствую(feel~фил) как *наполняется дырявая лодка, вода уже по колено, мы все утонем, ааа / ФИЛя со степашкой *наполняли снотворным стаканы для малышей |
push [пуш] | толкать | ПУШкин *толкнул дантеса в пропасть во ржи и поржал / *нажать кнопку ПУСХ бомбы и всё разлетится в ПУХ и прах |
fall [фо:л] | падать | ФОЛ в футболе это *падение / уФОЛог *упал, увидев нло у себя под кроватью / *впасть-в-состояние / *осенью *падают листья | autumn~отэм *осень // full~фул сытый полный дурак-fool // fail~феил провал // foul~фаул грязный отвратительный
fly [флаи] | летать,муха | ФЛАЙер *летает по улице, лови его! / *мухи болеют гриппом(flu~флу) когда холодно и еле ползают / когда мы *летели в самолёте, в салоне *летали *мухи и раздавали ФЛАЙеры на день варенья | flight~флайт летит Фанерный ЛАЙнер // sly~слаи / ты прибил(slay~слей) *коварную *ловкую *хитрую муху(fly~флай) которая тебя достала
hunt [хАнт] | охотиться | ХАНТы *охотились на мансов в ХАНТы-мансийске / хед-ХАНТер это *охотник за головами(head~хэд) / военная ХУНТа *охотилась за партизанами / *поиски *гнать-зверя |
finish [финиш] | заканчивать | *ФИНИШ % *окончание *конец *отделка *завершать *отделывать *выравнивать *сглаживать *прикончить |
delete [ди'ли:т] | удалить | е=и, кнопка DEL на клаве *удалять *вычеркивать *стирать *не-оставлять-следов *ликвидировать / ДЕЛЕТант всё ДЕЛИТ на 0 и *уничтожает |
sing [сиН] | петь | СИНГл это сборник *песен / в СИНГапуре *поют про тонкие(thin~Син) вещи(thing~СиН) / в СИНаГоге гога *поёт - СИНий СИНий иней лёГ на провода | singer~синэр *певец поёт до поСИНЕния // song~соН песня // sin~син грех синагога
cook [кук] | готовить | *КОК *готовил на КУХне / *КУХарка *повар | cookie~куки печенье // cooker~кукэ плита печь // cock~кок петух самец
dream [дрим] | мечтать | видел *мечту в *сновидении когда ДРЕМал |
dance [дЭнс][да:нс] | танцевать | д=т *ТАНЦЕвать % / лада ДЭНС *танцует и поёт |
sell [сел] | продавать | СЕЛо *продаёт в город еду / бестСЕЛлер - лучшая(best~бест) *продажа = очень популярный берут нарасхват | sell-out~селаут распродавать // cell~сел ячейка клетка элемент-питания *продают
drink [дриНк] | пить,напиток | ДРЯНь и пьянь *бухают до ДРАКи / *питье *напиток *выпить *пьянствовать | drunk~дранк пьяница
drunk [дрэНк][дрАНк] | пьяный | (=drunken) / *алкоголик ДРАНый |
respect [ри'спект] | уважать | РЕСПЕКТабельный значит *уважаемый / РЕСПЕКТ и *уважуха / *почтение *отношение | respectively~риспективли соответственно
enjoy [ин'джои] | наслаждаться | +дискачём И Нам ДЖОЙ-радость приносит кислотный ди-джей |
forget [фоР'гет] | забывать | *забыл одеть ФОРму ГЕТман и его не пустили домой / =для+получить |
forgive [фоРгив] | простить | *прости мертвецоВ за ОРГИю В морге / *прости ГИВи за то что дал(give~гив) тебе гирей по башке и ты забыл(forget~ФОРгет) свое имя и потерялся / =для+дать |
wish [Виш] | желать,желание | *желаю ВИШневый сад срубить, -ах, мерзавец |
cry [краи] | плакать | *КРИчать / КРАЙний в очереди *КРИчал и *плакал что ему не хватит! а ему ну очень надо / моя хата с КРАЮ и я *плачу что ничего не знаю / *плачет девушка в автомате, что пойдёт за любимым хоть на КРАЙ света |
mix [микс] | смешивать,смешивание | МИКСер *перемешивает (mix-up~миксэп перепутывает) |
separate [сепэрейт] | разделять | СЕПаРАТор *разделяет котлеты от мух, а миксер обратно смешивает(mix~микс) / *отдельный регион *отделяют СЕПАРАТисты, беги оттуда |
print [принт] | печатать,распечатать | ПРИНТер *печатает *распечатку |
jump [джАмп] | прыгать | +с крыши зимой в ДЖЕМПере(свитер) чтобы не замерзнуть | jumper~джампер / ДЖЕМПЕР это *блуза для *прыжков-jump от *контролера в окно поезда
hate [хеит] | ненавидеть | всех *ненавидит ХЕЙТер в хате в шапке(hat~хэт) | hatred~хеитрид ненависть / -ed сущ? // height~хайт *высоту *ненавижу, голова кругом идёт
kiss [кис] | целовать | +КИСку взасос, фу! она же лишайная! |
excuse [ик'скьюз][икс'кью:с] | извинять,извинение | ИКСКЬЮЗ ми -простите меня зас-ца / принес УКСУС вместо воды и *извинился, но все уже отравились.. | sorry~сори сожалеть о ссоре
translate [трЭнс'леит] | переводить | *ТРАНСЛИровать *объяснять *толковать |
swim [сВим] | плавать | *купаются СВИньи Мокрые в грязной луже / СВИнья Моя *купается в ванне, жирок свой греет, журнальчики читает, а меня на конкурс уродов не взяли (из осторожно модерн) | swig~сВиг *глоток воздуха при *купании
relax [ри'лЭкс] | расслабляться | +при РЕЛАКСации |
fuck [фэк] | тр-тр | ~плодиться / фак-ю = пошел к черту |
#
more [моР] | более | МОРЕ это много(сленг) а значит *больше / МОРЕ *больше озера |
most [моуст] | наиболее,большинство | *наиболее длинный МОСТ построили до луны лунатики / *большинство ходит через МОСТ, а балбесы ходят по тонкому льду, там короче | mostly~моустли главным-образом
almost [олмоуст] | почти | ОЛя МОСТ *почти проползла с раненым на спине, но в него попала ракета.. |
less [лес] | менее | чем *меньше ЛЕС тем толще партизаны |
least [лист] | наименее | *самый-маленький гЛИСТ вылез из тебя и смылся / *наименьший список(list~лист) вещей нужен в походе |
right [раит] | верно,правый,правильный | +п *пРАвыЙ %% / *пРАвильный *пРАво *порядок / дорога *направо вела в РАЙ, а налево(left~лефт) в лифт / братья РАЙТ писали(write~раит) *правой рукой про самолеты / копиРАЙТ(с) = копировать(copy~копи) + *право = правообладатель |
left [лефт] | левый | ф=в % / *налево от ЛИФТа (кино) |
wrong [роН] | неправильный | *неправильные действия нанесли уРОН / капитан РОН *неправильно плыл и завёз на кубу (кино) |
new [нью] | новый | НЬЮ-йорк это *новый йорк / НЬЮтон открыл *новый закон ома | news~ньюс новости
good [гуд] | хороший | ГУДвин = *хороший + выиграл(win~вин) изумрудный город в карты / *хороший робин ГУД грабил(rob~роб) плохих / ГУДбай - пока (=всего *хорошего) |
better [бетэР] | лучший,лучше | *лучше купить БАТАРейку в фонарь заранее перед концом света | butter~батеР масло
best [бест] | самый-лучший | БЕСТселлер = *наилучший + продаваемый(sell~сел) (seller~селэР продавец) |
bad [бЭд] | плохой | *плохая БЕДа | badly~бэдли сильно-плохо / ~быдло // bed~бед *кровать *плохая у бедняка // badly-dressed[бЭдли-дрест]плохо-одетый
worse [Вёрс] | худший,хуже | отВЕРСтие *хуже чем дырка / одна ВЕРСия убийства *хуже другой | verse~вёрс стихи куплеты // worth~ВёрС ценности
worth [ВёРС] | ценности | ВОР Свиснул *ценности хуже(worse~Вёрс) чем вчера и ВЕРСтак у слесаря отмычки делать / приВЁЗ знакомиться с родителями *достойную женщину, а она оказалась мужиком / ВОСточные мужчины *ценят западных женщин в мини юбках | worthwhile~ВэРСВаил дельный стоящий совет
worst [ВёРст] | наихудший | +ВЕРСТак у слесаря алкаша |
last [ласт] | последний | ты склеил ЛАСТы в *последний день жизни / *продолжается *длится *прошлый | at-last~этласт наконец
own [оун] | собственный | клОУН показал *свой *собственный красный нос, дамы упали в обморок | owner~оунэр владелец // ownership~оунэршип собственность
usual [южэВэл][ю:жуэл] | обычный | *обычно Я ЖУю гАЛстук когда сказать нечего | usually~южуэли *обычно я съЁЖИвАюсь под взглядом ЛЮдоеда
long [лоН] | длинный | проЛОНГация вклада значит *продление *длинного срока / поставили *длинный шезЛОНГ для всех шизиков | prolong~прэлоН ПРОЛОНГация это *продлить срок вклада // along~элоН вдоль
high [хаи] | высокий | ХАЙтек - *высокие технологии / говоря зиг ХАЙ, *высоко поднимай руку / подняли ХАЙ - *высокий шум | height~хайт *высоту ненавижу-хейт // hi~хай привет // highly~хаили слишком-сильно
little [литэл] | маленький | +ЛИЛипуТ |
great [греит] | великий,большой | землю ГРЕЕТ *большое солнце / ГРЕЙТ-бритн это *велико британия | grand~грэнд грандиозный
real [рил][риэл] | настоящий,реальный | е=и % а звучит РИЛ! |
old [оулд] | старый | +кОЛДун женился на ведьме / *дЫЛДа | adult~эдАЛТ взрослый
big [биг] | большой | +БИГмак в рот не влазит / *большой БИГемот бежит на нас.. спасайся кто может! | large~лаРдж *большой балкон это лоджия
large [лаРдж] | обширный,большой | +балкон это ЛОДЖия | big~биг *большой
same [сеим] | такой-же,тот-же | *тот-же-САМЫй %% / *тот-же *самый СЕЙМ, что был в прошлом веке, те-же рожи, это бессмертные! | some~сам некоторый кое-кто
next [некст] | следующий | НЕКСТати тебя *следующего вызвали к доске, а ты ничего не знаешь.. / вы очень НЕ КСТати, приходите в *следующий раз и забудьте сюда дорогу |
kind [каинд] | добрый | *добренький КАНДидат в министры - это *разновидность *особый-сорт КИНДер сюрприза, а потом бац и дефолт |
small [смо:л] | маленький | -с %% / Совсем *МАЛ золотник, да дорог / Съела огромную шубу *маленькая МОЛь и хочет ещё |
young [йАН] | молодой | +матрос это ЮНГа |
beautiful [бью:тэфул] | красивый | eau=ью / БЬЮТ *красавиц значИт любят | beauty~бьюти красавица красота
cheap [чи:п] | дешёвый | *дешевые ЧИПсы / ЧИП купил дейлу *дешевую гайку на его болт с левой резьбой | chip~чип ЧИПсы тонкий-кусочек жареный-хрустящий-картофель щепка крошка
dark [даРк] | тёмный | ДАРКнет это *темный интернет хакеров / жанна Д-АРК жила в *темные времена |
hard [хаРд] | тяжёлый,жёсткий | ХАРД-рок *жесткий *твердый музон как скала(rock~рок) | hardly~хардли вряд-ли едва-ли
soft [софт] | мягкий | СОФа это *мягкий диван / свет СОФиТа *мягкий и *нежный / микроСОФТ это мелко *мягкие / СОФТ - программы для компа (software~софтВеР) |
far [фаР] | далёкий,далеко | +светят ФАРы | afar~эфаР вдалеке издали издалека виднО ФАРы // fair~фер,феа светлые ФАРЫ // for~фор для машины фары // four~фор четыре фары у машины // fare~фер,феэ плата-за-проезд на машине с фарами // fear~фир,фиэ страх от света фар ночью в лесу
final [фаинэл] | последний,финальный | +ный % | finally~файнэли в-конце наконец-то
low [лэу] | низкий | ЛОУкостер это *низкая стоимость(cost~кост) билетов | law~ло закон
easy [и:зи] | лёгкий | ИЗЯ из ИЗраиля такой *лёгкий, что ветром сдувает / ИЗИ пизи - *легко и просто | ease~ииз покой независимость
difficult [дификэлт] | трудный | +ДЕФЕКт / *трудная ДИФИКАция КАЛа это запор, фу |
strong [строН] | сильный | аСТРОНавт армСТРОНГ = рука(arm~аРм) + *сильный, порвал *крепкую *прочную СТРУНу на луне |
quick [кВик] | быстрый,скорый | (+ly quickly~кВикли *быстро К хорошему приВЫКЛИ) |
short [шоРт] | короткий | ШОРТы это *короткие брюки (shirt-рубашка skirt-юбка) | shot~шот фотоснимок кадр выстрелить
slow [слоу] | медленный | +СЛОн В посудной лавке *медленно ходит и всё ломает! |
dear [дир][диэ] | дорогой,уважаемый | и=о %% / *ДОРогой ДИРектор был тупой олень(deer~дир) |
glad [глЭд] | веселый,радостный | +потому что ГЛАДиолус (из квн) / когда кошку ГЛАДишь, она *довольна и мурчит |
happy [хЭпи] | счастливый | ХЭПИенд - *счастливый + конец(end~енд) случился(happen~хэпэн) / *счастливый ХИППИ танцует ХИПхоп |
sad [сЭд] | грустный | доСАДа и *печалька / САДист мучает кошек, это *печально и *грустно |
dead [дед] | мёртвый | ДЕДлайн = *мертвая + линия(line~лайн) = крайний срок / ДЕД спит как *мёртвый, вчера *умер (dad-папа это дед, дед это мертвый, сдвиг по фазе, фазер-отец) | dread~дред *ужас *страх от *мертвецов
ready [реди] | готовый | РЕДИска *готова в салат / пионер в красном(RED) галстуке - всегда *готов | already~олреди уже =всё+готово
fake [феик] | поддельный,фальшивый | ФЕЙК это *подделка *подлог *фальсификация *фальшивка (сленг) / ФАКир *обманул змею |
social [соушэл] | общественный,социальный | ц=ш % |
random [рЭндэм] | случайный | *выбранный-наугад это *РАНДОМный (сленг) |
fast [фаст] | быстрый | ФАСТфуд это *быстрая + еда(food~фуд) (feed~фид кормить) | fasten~фасэн / (т-немая) при ФАСОвке *закрепить *застегивать *быстро
main [меин] | главный,основной | +доход тунеядцев - МАЙНинг | mine~майн шахта
hot [хот] | горячий | ХОТ-дог это *горячая собака(dog~дог),(как холод собачий, собака тут не при чём, это сосиска в тесте) а ХОТтабыч это *жаркие бычки | heat~хит жара нагревать
cold [коулд] | холодный | к=х *ХОЛоДный % | cool~кул прохладный
cool [ку:л] | прохладный,классный | КУЛер принёс *прохладный *свежий воздух | cold~коулд холодно
warm [ВоРм] | тёплый | ВАРиМ *тёплый ВЕРМишель и белые червяки(worm~ВёРм) там шевелятся, бее |
full [фул] | полный | *сытый был *полный дурак(fool~ФУЛ) и низко пал(fall~фол) |
heavy [хеви] | тяжёлый | ХЕВИ метал - *тяжелый метал - музыка для глухих | have~хэв иметь
clean [кли:н] | чистый | *чистая КЛИНика / ~КЛИНнинговые компании *чистят | clear~клир ясно отчетливо // cling~клиН зацепилось // vacuum-cleaner пылесос
dirty [дёРти] | грязный | ДИТЁ *грязное по уши пришло домой / ТЁРЛИ *грязное |
nice [нис][наис] | приятный,хороший | *хорошая *приятная племянница(niece~нис) |
modern [модэРн] | современный | МОДЕРН толкинг - *современный разговор(talking~токиН) / МОДЕРНизировать *современным оборудованием |
fresh [фреш] | свежий | +ФРукт ЕШь / ФРЕШь скотина, что мясо скотины *свежее / акваФРЕШ |
strange [стреиндж] | странный | *СТРАНный *неизвестный *необыкновенный *чужой вылез из Живота и всех съел на космическом корабле (кино) |
crazy [креизи] | безумный,сумасшедший | *безумные *чоКнутые мРАЗИ гоняли на КРАЗЕ(самосвал) |
mad [мЭд] | бешеный,безумный | МАДрид от *сумасшедших избавился(rid~рид) / *сумасшедшая МАДам брошкина с рожками вышла замуж за князя из грязи(mud~мад грязный) | moody~муди унылый угрюмый
wild [Ваилд] | дикий | WILDberies магазин - *дикие ягоды(berry~бери) / на ВАЛДае в сочи встречаются самые *буйные *бешеные *необузданные *дикие *безумцы | weld~Велд приварили к куВАЛДе ручку // wield~Вилд орудует ВИЛкой Дармоед
sweet [сВит] | сладкий | СВИТа короля была *душистая *свежая *любимая *милая *приятная *ласковая / СВЕТка - *сладкая *конфетка | sweat~сВет пот в СВИТере
#
black [блЭк] | чёрный | БЛЭКаут = *черный + снаружи(out~аут) = электричество пропало в городе на неделю / БЛЕКнет свет и наступает *черная тьма |
white [Ваит] | белый | *белая ВАТА |
red [ред] | красный | РЕДиска *красная, нехороший человек / фРЕДи крюгер носил *красный галстук когда был пионером, потом вступил в партию и довёл страну до ручки |
green [грин] | зелёный | ГРИНпис - *зеленый мир(peace~пис) защищает природу / ГРИНкарта - зеленая карта | grin~грин *усмешка *зеленого ГРИНча который украл рождество
blue [блу][блю] | голубой,синий | БЛЮтус - *голубой + зуб(tooth~туС) = беспроводная связь / БЛЮвота *синяя + вода(water~Вотэ) бее | dark-blue = синий
yellow [йелоу] | жёлтый | вулкан ЙЕЛОУстоун - *желтый камень, скоро взорвётся и всем капец / ты ел в лесу ЕЛОвУю *жёлтую шишку с голодухи, а белки вокруг ржали |
gray [греи] | серый | (=grey) / +ГРАнит |
pink [пиНк] | розовый | ПИНК флойд *розовый фламинго / потри *розовую сПИНКу у свиногрыза и дай ему ПИНКа за свинство |
brown [браун] | коричневый | ева БРАУН носит *коричневый БРАУНинг и *брови(brow~брау) |
purple [пэрпэл] | фиолетовый | ~ПУРПУрный |
#
number [нэмбэР][нАмбэ] | число | -б *НОМЕР %% / *нумеровать |
zero [зироу][зиэроу] | ноль | ЗОРРО всех убил под *ноль |
one [ВАн] | один | жан клод ВАН дамм может *один справиться с целой толпой дам / *ОНО *некто (=man,body) | no-one~ноуВэн никто // one-day~Вэндей как-то однажды // once~Ванс однажды
