g_fa=`# список самых важных 2801(8370) английских слов в порядке частоты, их знать обязательно! Перевод от гугл, тр не у всех, ФА смотрите в 3700 и для Anki
1. the [Зэ][Зэ][Зи] | (артикль)-этот
1405. branch [брЭнч] | филиал
branched [брЭнчт] | разветвленный
branches [брЭнчэз][брЭнчиз] | ветви
branching [брЭнчиН] | разветвление
1406. vehicle [вихикэл][виикэл] | транспортное-средство
vehicles [вихикэлз][виикэлз] | транспортные-средства
1407. scientist [саиэнтист] | ученый
scientists [саиэнтис][саиэнтистс][саинтис][саинтистс] | ученые
1408. route [раут][рут] | маршрут
routes [раутс][рутс][рутс] | маршруты
1409. bind [баинд] | связывать
binding [баиндиН] | обязательный
binds [баиндз] | связывает
1410. belong [би'лоН] | принадлежать
belonged [би'лоНд] | принадлежал
belonging [би'лоНиН] | принадлежность
belongings [би'лоНиНз] | вещи
belongs [би'лоНз] | принадлежит
1411. taste [теист] | вкус
tasted [теистид] | попробовал
tastes [теистс] | вкусы
tasting [теистиН] | дегустация
1412. tonight [тэ'наит][ту'наит] | сегодня-вечером
1413. fashion [фЭшэн] | мода
fashioned [фЭшэнд] | вылепленный
fashioning [фЭшэниН] | вылепливание
fashions [фЭшэнз] | моды
1414. danger [деинджэр] | опасность
dangers [деинджэрз] | опасности
1415. bomb [бам][бом] | бомба
bombed [бамд] | разбомбили
bombing [бамиН] | бомбардировка
bombings [бамиНз] | бомбардировки
bombs [бамз] | бомбы
1416. army [арми] | армия
armies [армиз] | армии
1417. dangerous [деинджэрэс] | опасный
1418. decrease [ди,крис][ди'крис] | уменьшение
decreased [ди,крист][ди'крист] | уменьшилось
decreases [ди,крисиз][ди'крисэз][ди'крисиз] | уменьшается
decreasing [ди,крисиН][ди'крисиН] | уменьшение
1419. hurt [хэрт] | больно
hurting [хэртиН] | больно
hurts [хэртс] | болит
1420. council [каунсэл] | совет
councils [каунсэлз] | советы
1421. editor [едэтэр][едитэр] | редактор
editors [едитэрз] | редакторы
1422. normally [нормэли][нормли] | нормально
1423. sight [саит] | вид
sighted [саитид] | зрячий
sighting [саитиН] | прицеливание
sightings [саитиНз] | наблюдения
sights [саитс] | достопримечательности
1424. generate [дженэр,еит] | генерировать
generated [дженэр,еитэд][дженэр,еитид] | сгенерировано
generates [дженэр,еитс] | генерирует
generating [дженэр,еитиН] | генерирующий
1425. gift [гифт] | подарок
gifted [гифтэд][гифтид] | одаренный
gifting [гифтиН] | дарение
gifts [гифс][гифтс] | подарки
1426. delivery [ди'ливэри] | доставка
deliveries [ди'ливэриз][ди'ливриз] | поставки
1427. deny [ди'наи] | отрицать
denied [ди'наид] | отклонен
denies [ди'наиз] | отрицает
denying [ди'наииН] | отрицая
1428. guest [гест] | гость
guests [гестс] | гости
1429. anybody [енибэди] | кто-нибудь
1430. bedroom [бе,друм] | спальня
bedrooms [бе,друмз] | спальни
1431. quote [кВоут] | цитата
quoted [кВоутид] | цитируется
quotes [кВоутс] | кавычки
quoting [кВоутиН] | цитирование
1432. climb [клаим] | восхождение
climbed [клаимд] | поднялся
climbing [клаимиН] | восхождение
climbs [клаимз] | подъемы
1433. basically [беисикли] | в-основном
1434. violence [ваиэлэнс] | насилие
1435. minister [минэстэр][министэр] | министр
ministered [??] | служил
ministering [министриН] | служение
ministers [минэстэрз][министэрз] | министры
1436. mainly [меинли] | в-основном
1437. mouth [мауС] | рот
mouthed [мауЗд] | ртом
mouthing [мауЗиН] | ругательство
mouths [мауЗз] | рты
1438. noise [ноиз] | шум
noises [ноизиз] | шумы
1439. manner [мЭнэр] | манера
mannered [мЭнэрд] | воспитанный
manners [мЭнэрз] | манеры
1440. gun [гэн] | пушка
gunned [гэнд] | расстрелян
gunning [гэниН] | обстрел
guns [гэнз] | пушки
1441. square [скВер] | квадрат
squared [скВерд] | в-квадрате
squarer [??] | квадратный
squares [скВерз] | квадраты
squarest [??] | квадратнейший
squaring [скВериН] | возведение-в-квадрат
1442. occasion [э'кеижэн] | случай
occasioned [э'кеижэнд] | вызванный
occasioning [??] | поводящий
occasions [э'кеижэнз] | случаи
1443. familiar [фэ'милйэр] | знакомый
familiars [??] | фамильяры
1444. ignore [иг'нор] | игнорировать
ignored [иг'норд] | проигнорировано
ignores [иг'норз] | игнорирует
ignoring [иг'нориН] | игнорируя
1445. destroy [ди'строи] | уничтожить
destroyed [ди'строид] | уничтожено
destroying [ди'строииН] | разрушающий
destroys [ди'строиз] | разрушает
1446. affair [э'фер] | дело
affairs [э'ферз] | дела
1447. civil [сивэл] | гражданский
1448. locate [лоу,кеит] | найти
located [лоу,кеид][лоу,кеитэд] | расположен
locates [лоу,кеитс] | находит
locating [лоу,кеитиН] | нахождение
1449. citizen [ситэзэн][ситизэн] | гражданин
citizens [ситэзэнз][ситизэнз] | граждане
1450. temperature [темпэрэчэр][темпрэчэр] | температура
temperatures [темпэрэчэрз][темпрэчэрз] | температуры
1451. gold [гоулд] | золото
1452. domestic [дэ'местик] | внутренний
domestics [дэ'местикс] | прислуга
1453. load [лоуд] | нагрузка
loaded [лоудид] | загружен
loading [лоудиН] | загрузка
loads [лоудз] | нагрузки
1454. belief [би'лиф] | вера
beliefs [би'лифс] | убеждения
1455. troop [труп] | отряд
troops [трупс] | войска
1456. technical [текникэл] | технический
1457. remind [ри'маинд] | напомнить
reminded [ри'маиндид] | напомнил
reminding [ри'маиндиН] | напоминая
reminds [ри'маиндз] | напоминает
1458. arrangement [эр'еинджмэнт] | расположение
arrangements [эр'еинджмэнтс] | распоряжения
1459. skin [скин] | кожа
skinned [скинд] | ободранный
skinning [??] | снятие-шкуры
skins [скинз] | скины
1460. prison [призэн] | тюрьма
prisons [призэнз] | тюрьмы
1461. switch [сВич] | переключатель
switched [сВичт] | переключился
switches [сВичэз][сВичиз] | переключатели
switching [сВичиН] | переключение
1462. acquire [э'кВаиэр] | приобретать
acquired [э'кВаиэрд] | приобретенный
acquires [э'кВаиэрз] | приобретает
acquiring [э'кВаиэриН][э'кВаириН] | приобретение
1463. corporate [корпэрэт][корпрэт] | корпоративный
1464. fairly [ферли] | довольно
1465. wood [Вуд] | дерево
wooded [Вудид] | лесистый
woods [Вудз] | леса
1466. participate [пар'тисэ,пеит] | участвовать
participated [пар'тисэ,пеитид] | участвовал
participates [пар'тисэ,пеитс] | участвует
participating [пар'тисэ,пеитиН] | участие
1467. tough [тэф] | жесткий
tougher [тэфэр] | жестче
toughest [тэфэст] | самый-жесткий
1468. tear [тер][тир] | слеза
tearing [териН][тириН] | разрывая
tears [терз][тирз] | слезы
tore [тор] | разорвал
1469. representative [репрэ'зенэтив][репрэ'зентэтив][репри'зенэтив][репри'зентэтив] | представитель
representatives [репрэ'зенэтивз][репрэ'зентэтивз][репри'зенэтивз][репри'зентэтивз] | представители
1470. capacity [кэ'пЭсэти][кэ'пЭсити] | емкость
capacities [кэ'пЭсэтиз][кэ'пЭситиз] | мощности
1471. border [бордэр] | граница
bordered [бордэрд] | граничил
bordering [бордэриН] | граничащий
borders [бордэрз] | границы
1472. shake [шеик] | встряхнуть
shaken [шеикэн] | потрясенный
shakes [шеикс] | трясет
shaking [шеикиН] | тряска
shook [шук] | потрясенный
1473. assessment [э'сесмэнт] | оценка
assessments [э'сесмэнтс] | оценки
1474. shoe [шу] | башмак
shod [шад] | обут
shoed [??] | обут
shoes [шуз] | обувь
1475. ought [от] | должен
oughta [отэ] | надо-было
oughtn't [отэнт] | не-должен
1476. ad [Эд] | г.н.э.-реклама
ads [Эдз] | объявления
1477. fee [фи] | плата
fees [физ] | сборы
1478. hall [хол] | зал
halls [холз] | залы
1479. regulation [регйэ'леишэн] | регулирование
regulations [регйэ'леишэнз] | правила
1480. escape [и'скеип] | побег
escaped [и'скеипт] | сбежал
escapes [и'скеипс] | побеги
escaping [и'скеипиН] | побег
1481. studio [студи,оу] | студия
studios [студи,оуз] | студии
1482. proper [прапэр] | собственно
1483. relax [ри'лЭкс][ри'лЭкс] | расслабиться
relaxed [ри'лЭкст][ри'лЭкст] | расслабленный
relaxes [ри'лЭксиз] | расслабляет
relaxing [ри'лЭксиН][ри'лЭксиН] | расслабляющий
1484. tourist [турэст][турист] | турист
tourists [турэстс][туристс] | туристы
1485. component [кэм'поунэнт] | компонент
components [кэм'поунэнтс] | компоненты
1486. afford [э'форд] | ​​позволить-себе
afforded [э'фордэд] | предоставлено
affording [э'фордиН] | предоставляя
affords [э'фордз] | позволяет
1487. lawyer [лоиэр][лойэр] | юрист
lawyers [лоиэрз][лойэрз] | юристы
1488. suspect [сэс,пект][сэ'спект] | подозреваемый
suspected [сэ'спектид] | подозревал
suspecting [сэ'спектиН] | подозревая
suspects [сэс,пектс][сэ'спектс] | подозреваемые
1489. cup [кэп] | чашка
cupped [??] | чашеобразный
cupping [??] | купирование
cups [кэпс] | чашки
1490. description [дис'крипшэн] | описание
descriptions [дис'крипшэнз] | описания
1491. confidence [канфэдэнс] | уверенность
confidences [канфэдэнсиз] | признания
1492. industrial [ин'дэстриэл] | промышленный
industrials [ин'дэстриэлз] | промышленные-предприятия
1493. complain [кэм'плеин] | жаловаться
complained [кэм'плеинд] | жаловался
complaining [кэм'плеиниН] | жалуясь
complains [кэм'плеинз] | жалуется
1494. perspective [пэр'спектив] | перспектива
perspectives [пэр'спективз] | перспективы
1495. error [ерэр] | ошибка
errors [ерэрз] | ошибки
1496. arrest [эр'ест] | арест
arrested [эр'естид] | арестован
arresting [эр'естиН] | арестовывать
arrests [эр'естс] | аресты
1497. assess [э'сес] | оценить
assessed [э'сест] | оцененный
assesses [э'сесиз] | оценивает
assessing [э'сесиН] | оценивая
1498. register [реджистэр] | регистр
registered [реджистэрд] | зарегистрирован
registering [реджистэриН][реджистриН] | регистрация
registers [реджэстэрз][реджистэрз] | регистры
1499. asset [Э,сет] | актив
assets [Э,сетс] | ресурсы
1500. signal [сигнэл] | сигнал
signaled [сигнэлд] | сигнализировал
signaling [сигнэлиН] | сигнализация
signalled [сигнэлд] | сигнализировал
signalling [сигнэлиН] | сигнализация
signals [сигнэлз] | сигналы
1501. finger [фиНгэр] | палец
fingered [фиНгэрд] | пальчатый
fingering [фиНгэриН] | аппликатура
fingers [фиНгэрз] | пальцы
1502. relevant [релэвэнт] | релевантный
1503. explore [икс'плор] | исследовать
explored [икс'плорд] | исследовал
explores [икс'плорз] | исследует
exploring [икс'плориН] | исследуя
1504. leadership [лидэр,шип] | лидерство
leaderships [лидэр,шипс] | лидерства
1505. commitment [кэ'митмэнт] | обязательство
commitments [кэ'митмэнтс] | обязательства
1506. wake [Веик] | поминки
waked [??] | проснулся
wakes [Веикс] | просыпается
waking [ВеикиН] | пробуждение
woke [Воук] | проснулся
woken [Воукэн] | разбуженный
1507. necessarily [несэ'серэли] | обязательно
1508. bright [браит] | яркий
brighter [браитэр] | ярче
brightest [браитэст] | самый-яркий
1509. frame [фреим] | рамка
framed [фреимд] | оформленный
frames [фреимз] | кадры
framing [фреимиН] | обрамление
1510. slowly [слоули] | медленно
1511. bond [банд] | облигация
bonded [бандэд][бандид] | связанный
bonding [бандиН] | склеивание
bonds [бандз] | облигации
1512. hire [хаиэр][хаир] | прокат
hired [хаиэрд] | наемный
hires [хаиэрз][хаирз] | нанимает
hiring [хаириН] | найм
1513. hole [хоул] | отверстие
holed [хоулд] | продырявленный
holes [хоулз] | отверстия
holing [хоулиН] | дырявить
1514. tie [таи] | галстук
tied [таид] | связанный
ties [таиз] | галстуки
tying [таииН] | завязывание
1515. internal [ин'тэрнэл] | внутренний
internals [??] | внутренности
1516. chain [чеин] | цепь
chained [чеинд] | прикованный-цепью
chaining [чеиниН] | цепочка
chains [чеинз] | цепи
1517. literature [литэрэчэр] | литература
literatures [??] | литературы
1518. victim [виктэм][виктим] | жертва
victims [виктэмз][виктимз] | жертвы
1519. threaten [Сфретэн] | угрожать
threatened [Сфретэнд] | под-угрозой
threatening [СфретэниН][СфретниН] | угрожающий
threatens [Сфретэнз] | угрожает
1520. division [ди'вижэн] | разделение
divisions [ди'вижэнз] | дивизии
1521. secure [сик'ьюр] | безопасный
secured [сик'ьюрд] | обеспеченный
secures [сик'ьюрз] | обеспечивает
securing [сик'ьюриН] | обеспечение
1522. amaze [э'меиз] | удивлять
amazed [э'меизд] | поражен
amazes [э'меизиз] | поражает
amazing [э'меизиН] | удивительный
1523. device [ди'ваис] | устройство
devices [ди'ваисэз][ди'ваисиз] | устройства
1524. birth [бэрС] | рождение
birthed [??] | рожденный
birthing [бэрСиН] | роды
births [бэрСс] | рождения
1525. forest [форэст][форист] | лес
forested [форэстэд] | лесистый
foresting [??] | лесоводство
forests [форэстс] | леса
1526. label [леибэл] | этикетка
labeled [леибэлд] | маркированный
labeling [леибэлиН][леиблиН] | маркировка
labelled [леибэлд] | маркированный
labelling [??] | маркировка
labels [леибэлз] | этикетки
1527. root [рут] | корень
rooted [рутэд][рутид] | укорененный
rooting [рутиН] | укоренение
roots [рутс] | корни
1528. factory [фЭктэри] | фабрика
factories [фЭктэриз] | фабрики
1529. expense [ик'спенс] | расход
expensed [??] | расходы
expenses [ик'спенсэз][ик'спенсиз] | затраты
expensing [ик'спенсиН] | расходы
1530. channel [чЭнэл] | канал
channeled [чЭнэлд] | направленный
channeling [чЭнэлиН][чЭнлиН] | ченнелинг
channelled [??] | направленный
channelling [??] | ченнелинг
channels [чЭнэлз] | каналы
1531. investigate [ин'вестэ,геит] | исследовать
investigated [ин'вестэ,геитэд][ин'вестэ,геитид] | исследовано
investigates [ин'вестэ,геитс] | расследует
investigating [ин'вестэ,геитиН] | расследование
1532. recommendation [рекэмэн'деишэн] | рекомендация
recommendations [рекэмэн'деишэнз] | рекомендации
1533. rank [рЭНк] | ранг
ranked [рЭНкт] | ранжированный
ranking [рЭНкиН] | рейтинг
rankings [рЭНкиНз] | рейтинги
ranks [рЭНкс] | ранги
1534. typical [типэкэл][типикэл] | типичный
1535. west [Вест] | запад
1536. friendly [френдли][френли] | дружелюбный
friendlier [френдлиэр][френлиэр] | дружелюбнее
friendliest [френдлиэст][френлиэст] | самый-дружелюбный
1537. resident [резидэнт] | резидент
residents [резидэнтс] | резиденты
1538. provision [прэ'вижэн] | положение
provisioned [??] | предоставлено
provisioning [прэ'вижэниН] | предоставление
provisions [прэ'вижэнз] | положения
1539. concentrate [кансэн,треит] | концентрат
concentrated [кансэн,треитид] | концентрированный
concentrates [кансэн,треитс] | концентраты
concentrating [кансэн,треитиН] | концентрируясь
1540. plenty [плени][пленти] | много
1541. export [експорт] | экспорт
exported [ик'спортэд] | экспортировано
exporting [ик'спортиН] | экспорт
exports [експортс] | экспорт
1542. entirely [ин'таиэрли] | полностью
1543. strongly [строНли] | сильно
1544. bridge [бридж] | мост
bridged [бриджд] | мостовой
bridges [бриджэз][бриджиз] | мосты
bridging [бриджиН] | мост
1545. consist [кэн'сист] | состоять
consisted [кэн'систэд][кэн'систид] | состоял
consisting [кэн'систиН] | состоящий
consists [кэн'систс] | состоит
1546. graduate [грЭджэ,Веит][грЭджэВэт][грЭджу,еит][грЭджуВэт] | выпускник
graduated [грЭджэ,Веитид][грЭджу,еитид] | окончил
graduates [грЭджэ,Веитс][грЭджэВэтс][грЭджу,еитс][грЭджуВэтс] | выпускники
graduating [грЭджэ,ВеитиН][грЭджу,еитиН] | заканчивающий
1547. brand [брЭнд] | марка
branded [брЭндид] | фирменный
branding [брЭндиН] | брендинг
brands [брЭндз] | бренды
1548. moral [морэл] | моральный
morals [морэлз] | мораль
1549. insist [ин'сист] | настаивать
insisted [ин'систэд][ин'систид] | настоял
insisting [ин'систиН] | настаивая
insists [ин'систс] | настаивает
1550. combination [камбэ'неишэн] | комбинация
combinations [камбэ'неишэнз] | комбинации
1551. abuse [эб'ьюс][эб'ьюз] | злоупотребление
abused [эб'ьюзд] | злоупотребляли
abuses [эб'ьюсиз][эб'ьюзиз] | злоупотребления
abusing [эб'ьюзиН] | злоупотребление
1552. ice [аис] | лед
iced [аист] | замороженный
ices [аисэз][аисиз] | льды
1553. principal [принсэпэл] | главный
principals [принсэпэлз] | директора
1554. master [мЭстэр] | мастер
mastered [мЭстэрд] | освоил
mastering [мЭстэриН] | мастеринг
masters [мЭстэрз] | мастера
1555. definitely [дефэнэтли] | определенно
1556. session [сешэн] | сессия
sessions [сешэнз] | сеансы
1557. grade [греид] | класс
graded [греидэд][греидид] | градуированный
grades [греидз] | оценки
grading [греидиН] | оценка
1558. nevertheless [невэрЗэ'лес] | тем-не-менее
1559. predict [при'дикт][при'дикт] | предсказать
predicted [при'диктид][при'диктид] | предсказанный
predicting [при'диктиН][при'диктиН] | предсказывать
predicts [при'дикс][при'диктс][при'дикс][при'диктс] | предсказывает
1560. previously [привиэсли] | ранее
1561. protection [прэ'текшэн] | защита
protections [прэ'текшэнз] | защиты
1562. largely [ларджли] | в-значительной-степени
1563. wed [Вед] | ср
wedded [Ведид] | женился
wedding [ВедиН] | свадьба
weddings [ВедиНз] | свадьбы
weds [??] | женится
1564. rent [рент] | аренда
rented [рентид] | арендованный
renting [рентиН] | аренда
rents [рентс] | арендная-плата
1565. shot [шат] | выстрел
shots [шатс] | выстрелы
1566. appearance [э'пирэнс] | внешний-вид
appearances [э'пирэнсэз] | появления
1567. reasonable [ризэнэбэл][ризнэбэл] | разумный
1568. guarantee [герэн'ти] | гарантия
guaranteed [герэн'тид] | гарантировано
guaranteeing [герэн'тииН] | гарантирующий
guarantees [герэн'тиз] | гарантии
guaranties [герэн'тиз] | гарантии
guaranty [герэн'ти] | гарантия
1569. till [тил] | до
tilled [??] | пахал
tilling [тилиН] | пахота
tills [??] | кассы
1570. theme [Сим] | тема
themed [Симд] | тематический
themes [Симз] | темы
1571. judgment [джэджмэнт] | суждение
judgments [джэджмэнтс] | суждения
1572. odd [ад] | нечетный
odder [адэр] | страннее
oddest [адэст] | самый-странный
1573. approve [э'прув] | одобрить
approved [э'прувд] | одобренный
approves [э'прувз] | одобряет
approving [э'прувиН] | одобряющий
1574. loan [лоун] | кредит
loaned [лоунд] | одолжил
loaning [лоуниН] | кредитование
loans [лоунз] | кредиты
1575. definition [дефэ'нишэн] | определение
definitions [дефэ'нишэнз] | определения
1576. elect [и'лект] | избранный
elected [и'лектэд][и'лектид] | избранный
electing [и'лектиН] | избирающий
elects [и'лектс] | избирает
1577. atmosphere [Этмэс,фир] | атмосфера
atmospheres [??] | атмосферы
1578. farmer [фармэр] | фермер
farmers [фармэрз] | фермеры
1579. comparison [кэм'перэсэн] | сравнение
comparisons [кэм'перэсэнз] | сравнения
1580. characteristic [керэктэр'истик] | характеристика
characteristics [керэктэр'истикс] | характеристики
1581. license [лаисэнс] | лицензия
licence [лаисэнс] | лицензия
licenced [??] | лицензированный
licences [лаисэнсиз] | лицензии
licencing [??] | лицензирование
licensed [лаисэнст] | лицензированный
licenses [лаисэнсиз] | лицензии
licensing [лаисэнсиН] | лицензирование
1582. rely [ри'лаи][ри'лаи] | полагаться
relied [ри'лаид][ри'лаид] | полагался
relies [ри'лаиз][ри'лаиз] | полагается
relying [ри'лаииН] | полагаясь
1583. narrow [нЭроу][нероу] | узкий
narrowed [нероуд] | сужен
narrower [нероуэр] | более-узкий
narrowest [нероуэст] | самый-узкий
narrowing [нероуиН] | сужение
narrows [нероуз] | сужается
1584. succeed [сэк'сид] | преуспеть
succeeded [сэк'сидид] | удалось
succeeding [сэк'сидиН] | преуспевающий
succeeds [сэк'сидз] | преуспевает
1585. identity [аи'денти,ти] | личность
identities [аи'денти,тиз] | идентичности
1586. desk [деск] | стол
desks [дескс] | столы
1587. permit [пэр,мит][пэр'мит] | разрешение
permits [пэр,митс][пэр'митс] | разрешения
permitted [пэр'митид] | разрешено
permitting [пэр'митиН] | разрешение
1588. seriously [сириэсли] | серьезно
1589. wild [Ваилд] | дикий
wilder [Ваилдэр] | более-дикий
wildest [Ваилдист] | самый-дикий
wilds [Ваилдз] | дебри
1590. empty [емпти][емти] | пустой
emptied [емптид][емтид] | опорожненный
emptier [емптиэр][емтиэр] | пустее
empties [емптиз][емтиз] | пустые
emptiest [??] | самый-пустой
emptying [емптииН][емтииН] | опорожнение
1591. commission [кэ'мишэн] | комиссия
commissioned [кэ'мишэнд] | введен-в-эксплуатацию
commissioning [кэ'мишэниН] | ввод-в-эксплуатацию
commissions [кэ'мишэнз] | комиссии
1592. unique [ью'ник] | уникальный
1593. association [э,соуси'еишэн][э,соуши'еишэн] | ассоциация
associations [э,соуси'еишэнз][э,соуши'еишэнз] | ассоциации
1594. instrument [инстрэмэнт] | инструмент
instrumented [??] | инструментированный
instruments [инстрэмэнтс] | инструменты
1595. investor [ин'вестэр] | инвестор
investors [ин'вестэрз] | инвесторы
1596. practical [прЭктэкэл][прЭктикэл] | практический
1597. tea [ти] | чай
teas [тиз] | чаи
1598. lovely [лэвли] | прекрасный
lovelier [??] | красивее
loveliest [??] | прекраснейший
1599. soft [сафт][софт] | мягкий
softer [сафтэр][софтэр] | мягче
softest [софтэст] | самый-мягкий
1600. row [роу] | ряд
rowed [роуд] | гребной
rowing [роуиН] | гребля
rows [роуз] | ряды
1601. youth [ьюС] | юность
youths [ьюЗз][ьюСс] | молодежь
1602. lock [лак] | замок
locked [лакт] | заперт
locking [лакиН] | блокировка
locks [лакс] | замки
1603. fuel [фьюэл][фьюл] | топливо
fueled [фьюэлд] | заправленный
fueling [фьюлиН] | заправка-топливом
fuels [фьюэлз] | топлива
1604. expectation [експек'теишэн] | ожидание
expectations [експек'теишэнз] | ожидания
1605. employment [ем'плоимэнт][им'плоимэнт] | занятость
employments [ем'плоимэнтс][им'плоимэнтс] | занятость
1606. celebrate [селэ,бреит] | праздновать
celebrated [селэ,бреитид] | праздновали
celebrates [селэ,бреитс] | празднует
celebrating [селэ,бреитиН] | празднование
1607. sexual [секшуэл] | сексуальный
1608. shoulder [шоулдэр] | плечо
shouldered [шоулдэрд] | взвалил
shoulders [шоулдэрз] | плечи
1609. breath [бреС] | дыхание
breaths [бреСс] | вдохи
1610. increasingly [ин'крисиНгли][ин'крисиНли] | все-больше-и-больше
1611. import [им,порт][им'порт] | импорт
imported [им'портид] | импортированный
importing [им'портиН] | импорт
imports [им,портс][им'портс] | импорт
1612. bottle [батэл] | бутылка
bottled [батэлд] | бутилированный
bottles [батэлз] | бутылки
bottling [батэлиН][батлиН] | розлив
1613. ourselves [ауэр'селвз][ар'селвз] | мы-сами
1614. sheet [шит] | лист
sheeted [??] | покрытый-листами
sheeting [шитиН] | листовое-покрытие
sheets [шитс] | листы
1615. engine [енджэн][инджэн] | двигатель
engines [енджэнз] | двигатели
1616. cast [кЭст] | литье
casted [??] | литой
casting [кЭстиН] | литье
castings [кЭстиНз] | литье
casts [кЭстс] | бросает
1617. notion [ноушэн] | понятие
notions [ноушэнз] | понятия
1618. conservative [кэн'сэрвэтив] | консервативный
conservatives [кэн'сэрвэтивз] | консерваторы
1619. journey [джэрни] | путешествие
journeyed [джэрнид] | путешествовал
journeying [джэрнииН] | путешествие
journeys [джэрниз] | путешествия
1620. opposition [апэ'зишэн] | оппозиция
oppositions [апэ'зишэнз] | оппозиции
1621. relief [ри'лиф][ри'лиф] | рельеф
reliefs [ри'лифс] | рельефы
1622. debt [дет] | долг
debts [детс] | долги
1623. honor [анэр] | честь
honored [анэрд] | заслуженный
honoring [анэриН] | почитание
honors [анэрз] | почести
honour [анэр] | честь
honoured [анэрд] | заслуженный
honouring [??] | почитание
honours [??] | почести
1624. outcome [аут,кэм] | результат
outcomes [аут,кэмз] | результаты
1625. blame [блеим] | винить
blamed [блеимд] | обвинили
blames [блеимз] | обвиняет
blaming [блеимиН] | обвинять
1626. explanation [експлэ'неишэн] | объяснение
explanations [експлэ'неишэнз] | объяснения
1627. arise [эр'аиз] | возникнуть
arisen [эр'изэн] | возник
arises [эр'аизэз][эр'аизиз] | возникает
arising [эр'аизиН] | возникающий
arose [эр'оуз] | возник
1628. musical [мьюзикэл] | мюзикл
musicals [мьюзикэлз] | мюзиклы
1629. recover [ри'кэвэр] | восстановить
recovered [рэ'кэвэрд][ри'кэвэрд] | восстановлено
recovering [рэ'кэвэриН][ри'кэвэриН] | восстановление
recovers [ри'кэвэрз] | восстанавливается
1630. dad [дЭд] | папа
daddies [дЭдиз] | папочки
daddy [дЭди] | папочка
dads [дЭдз] | папы
1631. stretch [стреч] | растянуть
stretched [стречт] | растянутый
stretches [стречэз][стречиз] | растягивается
stretching [стречиН] | растяжка
1632. declare [ди'клер] | объявить
declared [ди'клерд] | заявил
declares [ди'клерз] | заявляет
declaring [ди'клериН] | декларируя
1633. retire [ри'таиэр][ри'таир][ри'таир] | уйти-в-отставку
retired [ри'таиэрд][ри'таирд][ри'таирд] | ушедший-на-пенсию
retires [ри'таиэрз][ри'таирз][ри'таирз] | уходит-в-отставку
retiring [ри'таиэриН][ри'таириН][ри'таириН] | уходящий-на-пенсию
1634. tiny [таини] | крошечный
tinier [таиниэр] | мельче
tiniest [таиниэст] | мельчайший
1635. careful [керфэл] | осторожный
1636. suitable [сутэбэл] | подходит
1637. native [неитив] | родной
natives [неитивз] | туземцы
1638. fruit [фрут] | фрукты
fruited [??] | плодоносный
fruiting [фрутиН] | плодоношение
fruits [фрутс] | фрукты
1639. analyze [Энэ,лаиз] | анализировать
analyse [??] | анализировать
analysed [??] | проанализировано
analysing [??] | анализируя
analyzed [Энэ,лаизд] | проанализировал
analyzes [Энэ,лаизиз] | анализы
analyzing [Энэ,лаизиН] | анализируя
1640. witness [Витнэс] | свидетель
witnessed [Витнэст] | засвидетельствовано
witnesses [Витнэсэз][Витнэсиз] | свидетели
witnessing [ВитнэсиН] | свидетельствование
1641. mail [меил] | почта
mailed [меилд] | отправлено-по-почте
mailing [меилиН] | рассылка
mailings [меилиНз] | рассылки
mails [меилз] | почта
1642. terrible [терэбэл] | ужасный
1643. researcher [рисэрчэр] | исследователь
researchers [рисэрчэрз] | исследователи
1644. ordinary [ордэ,нери] | обычный
1645. selection [сэ'лекшэн] | выбор
selections [сэ'лекшэнз] | выборы
1646. anywhere [ени,Вер][ених,Вер] | где-угодно
1647. mental [ментэл] | умственный
1648. participant [пар'тисэпэнт] | участник
participants [пар'тисэпэнтс] | участники
1649. vision [вижэн] | видение
visions [вижэнз] | видения
1650. personality [пэрсэ'нЭлити] | личность
personalities [пэрсэ'нЭлитиз] | личности
1651. specifically [спэ'сификли] | конкретно
1652. fat [фЭт] | жир
fats [фЭтс] | жиры
fatter [фЭтэр] | толще
fattest [фЭтэст] | самый-толстый
1653. entry [ентри] | запись
entries [ентриз] | записи
1654. fellow [фелоу] | парень
fellows [фелоуз] | ребята
1655. chemical [кемэкэл][кемикэл] | химический
chemicals [кемикэлз] | химикаты
1656. capture [кЭпчэр] | захват
captured [кЭпчэрд] | захвачен
captures [кЭпчэрз] | захватывает
capturing [кЭпчэриН] | захват
1657. tip [тип] | наконечник
tipped [типт] | наконечник
tipping [типиН] | чаевые
tips [типс] | советы
1658. discount [дискаунт][ди'скаунт] | скидка
discounted [дис,каунид][дис,каунтид] | со-скидкой
discounting [дис,кауниН][дис,каунтиН] | дисконтирование
discounts [дис,каунтс][ди'скаунтс] | скидки
1659. peak [пик] | пик
peaked [пикт] | достиг-пика
peaking [пикиН] | пик
peaks [пикс] | пики
1660. chairman [чермэн] | председатель
chairmen [чермин] | председатели
1661. proportion [прэ'поршэн] | пропорция
proportioned [прэ'поршэнд] | пропорциональный
proportioning [??] | пропорционирование
proportions [прэ'поршэнз] | пропорции
1662. ear [ир][ир] | ухо
eared [ирд] | ушастый
ears [ирз][ирз] | уши
1663. disappear [дисэ'пир][дисэ'пир] | исчезнуть
disappeared [дисэ'пирд][дисэ'пирд] | исчезнувший
disappearing [дисэ'пириН][дисэ'пириН] | исчезающий
