#Xing*2025 /600 базовых слов-A1/ сайт: en-ru-dict.github.io ютюб: m.youtube.com / @en-ru-dict
# %-похоже, %%-немного-похоже æ=Э ə=э ɛ=е ʊ=у θ=С ð=З w=В ʌ=А Р-амер аи=ай
#(все совпадения случайны, это - вымысел, черный юмор, пародия, сарказм, сказка, прикол, анекдот, фельетон, сочиняли все понемногу в меру своей испорченности, ошибки специально! Кому что не нравиться - сами сочиняйте!)
#
a [э]|артикль =некий|без артикля это глагол наречие или прилагательное|
bad [бЭд]|плохой|*плохая БЕДа|(badly бэдли сильно-плохо)(bed бед кровать)
worse [Вёрс]|худший,хуже|отВЕРСтие *хуже чем дырка / одна ВЕРСия убийства *хуже другой|(verse вёрс стихи куплеты)(worth ВёрС ценности)
worth [ВёРС]|ценности|ВОР Свиснул *ценности хуже(worse) чем вчера и ВЕРСтак у слесаря отмычки делать / приВЁЗ знакомиться с родителями *достойную женщину, а она оказалась мужиком / ВОСточные мужчины *ценят западных женщин в мини юбках|(worthwhile вэрсваил дельный стоящий)
worst [ВёРст][Вэ:ст]|наихудший|ВЕРСТак у слесаря алкаша|
last [ласт]|последний|ты склеил ЛАСТы в *последний день жизни / *продолжается *длится *прошлый|(этласт-наконец)
own [оун]|собственный|клОУН показал *свой *собственный красный нос, дамы упали в обморок|(owner оунэр владелец)(ownership оунэршип собственность)
usual [южэВэл][ю:жуэл]|обычный|Я ЖУю гАЛстук когда сказать нечего|(usually *обычно я съЁЖИвАюсь под взглядом ЛЮдоеда)
long [лоН]|длинный|проЛОНГация вклада значит *продление *длинного срока / поставили *длинный шезЛОНГ для всех шизиков|(prolong прэлоН ПРОЛОНГация это *продлить срок вклада)(along элоН вдоль)
high [хаи]|высокий|ХАЙтек - *высокие технологии / говоря зиг ХАЙ, *высоко поднимай руку / подняли ХАЙ *высокий шум|(хайт вершина)(hi хай привет)(highly хаили слишком-сильно)
little [литэл]|маленький|*маленький ЛИЛипуТ|
great [греит]|великий,большой|землю ГРЕЕТ *большое солнце / ГРЕЙТ-британ это *велико британия|(grand-грандиозный)
real [рил][риэл]|реальный,настоящий|*настоящий и *РЕАЛьный % а звучит РИЛ!|
old [оулд]|старый|кОЛДун женился на ведьме / *дЫЛДа|(adult эдАЛТ взрослый)
big [биг]|большой|БИГмак в рот не влазит / *большой БИГемот бежит на нас.. спасайся кто может!|(large лардж *большой балкон это лоджия)
large [лаРдж]|обширный,большой|балкон это ЛОДЖия|(big биг *большой)
same [сеим]|такой-же,тот-же|*тот-же-САМЫй %% / *тот-же *самый СЕЙМ, что был в прошлом веке, те-же рожи, это бесмертные!|(some сам некоторый кое-кто)
next [некст]|следующий|НЕКСТати тебя *следующего вызвали к доске, а ты ничего не знаешь.. / вы очень НЕ КСТати, приходите в *следующий раз и забудьте сюда дорогу|
kind [каинд]|добрый|*добренький КАНДидат в министры - это *разновидность *особый-сорт КИНДер сюрприза, а потом бац и дефолт|
small [смо:л]|маленький|-с %% / Совсем *МАЛ золотник, да дорог / Съела огромную шубу *маленькая МОЛь и хочет ещё|
young [йАН]|молодой|матрос - ЮНГа|
beautiful [бью:тэфул]|красивый|БЬЮТ *красавиц значИт любят|(бьюти-красавица)
cheap [чи:п]|дешёвый|*дешевые ЧИПсы / ЧИП купил дейлу *дешевую гайку на его болт с лысой(bald болд) резьбой|(chip чип ЧИПсы тонкий-кусочек жареный-хрустящий-картофель щепка крошка)
dark [даРк]|тёмный|ДАРКнет это *темный интернет хакеров / жанна Д'АРК жила в *темные времена|
hard [хаРд]|тяжёлый,жёсткий|ХАРД-рок *жесткий *твердый музон как скала(рок)|(hardly хардли вряд-ли едва-ли)
soft [софт]|мягкий|СОФа это *мягкий диван / свет СОФиТа *мягкий и *нежный / микроСОФТ это мелко *мягкие / СОФТ-это программы для компа (софтВеа)|
far [фаР]|далёкий,далеко|светят ФАРы|(afar эфаР вдалеке издали издалека виднО ФАРы)(fair фер,феа светлые ФАРЫ)(for фор для)(four фор четыре фары у машины)(fare фер,феэ плата-за-проезд)(fear фир,фиэ страх)
final [фаинэл]|последний,финальный|*ФИНАЛьный %|(finally файнэли в-конце наконец-то)
low [лэу]|низкий|ЛОУкостер это *низкая стоимость(кост) билетов|(law ло закон)
easy [и:зи]|лёгкий|ИЗЯ из ИЗраиля такой *лёгкий, что ветром сдувает / ИЗИ пизи - *легко и просто|(ease ииз покой независимость)
difficult [дификэлт]|трудный|ДЕФЕКт / *трудная ДИФИКАция КАЛа это запор, фу|
strong [строН]|сильный|аСТРОНафт армСТРОНГ = рука(арм) + *сильный, порвал *крепкую *прочную СТРУНу на луне|
quick [кВик]|быстрый,скорый|quickly кВикли *быстро К хорошему приВЫКЛИ|
short [шоРт]|короткий|ШОРТы это *короткие брюки (shirt-рубашка skirt-юбка)|(shot шот фотоснимок кадр выстрелить)
slow [слоу]|медленный|СЛОн В посудной лавке *медленно ходит и всё ломает!|
dear [дир][диэ]|дорогой,уважаемый|и=о %% / *ДОРогой ДИРектор был олень(deer дир)|
glad [глЭд]|веселый,радостный|потому что ГЛАДиолус (из квн) / когда кошку ГЛАДишь, она *довольна и мурчит|
happy [хЭпи]|счастливый|ХЭПИенд - *счастливый + конец(end енд) случился(happen хэпэн) / *счастливый ХИППИ танцует хипхоп|
sad [сЭд]|грустный|доСАДа и *печалька / САДист мучает кошек, это *печально и *грустно|
dead [дед]|мёртвый|ДЕДлайн - *мертвая + линия(line лайн) = крайний срок / ДЕД спит как *мёртвый, вчера *умер (dad-папа это дед, дед это мертвый, сдвиг по фазе, фазер-отец)|(dread дред ужас страх)
ready [реди]|готовый|РЕДИска *готова в салат / пионер в красном(RED) галстуке - всегда *готов|(already олреди уже всё+готово)
fake [феик]|поддельный,фальшивый|ФЕЙК это *подделка *подлог *фальсификация *фальшивка (сленг) / ФАКир *обманул змею|(fuck фак тр-тр)
social [соушэл]|общественный,социальный|ц=ш %|
random [рЭндэм]|случайный|*выбранный-наугад это *РАНДОМный (сленг)|(ransom рэнсэм выкуп)
fast [фаст]|быстрый|ФАСТфуд это *быстрая + еда(food фуд)(feed фид кормить)|(fasten фасэн при ФАСОвке *закрепить *застегивать *быстро)
main [меин]|главный,основной|доход тунеядцев - МАЙНинг|(майн-шахта)
hot [хот]|горячий|ХОТ-дог это *горячая собака(дог)(как холод собачий, собака тут не при чём, это сосиска в тесте) а ХОТтабыч это *жаркие бычки|(хит жара нагревать)
cold [коулд]|холодный|к=х *ХОЛоДный %|(cool кул прохладный)
cool [ку:л]|прохладный,классный|КУЛер принёс *прохладный *свежий воздух (cold коулд холодно)|
warm [ВоРм]|тёплый|ВАРиМ *тёплый ВЕРМишель и белые червяки(worm ВёРм) в *теплой ВЕРМешели шевелятся, фу|
full [фул]|полный|*сытый был *полный дурак(fool ФУЛ) и низко пал(fall фол)|
heavy [хеви]|тяжёлый|ХЕВИ метал - *тяжелый метал - музыка для глухих|(have иметь)
clean [кли:н]|чистый|*чистая КЛИНика / КЛИНнинговые компании *чистят|(clear клир ясно отчетливо)(cling клиН зацепилось)(vacuum-cleaner пылесос)
dirty [дёРти][дэ:ти]|грязный|ДИТЁ *грязное по уши пришло домой / ТЁРЛИ *грязное|
nice [нис][наис]|приятный,хороший|*хорошая *приятная племянница(niece нис)|
modern [модэРн]|современный|МОДЕРН толкинг - *современный разговор(talking толкинг) / МОДЕРНизировать *современным оборудованием|
fresh [фреш]|свежий|ФРукт ЕШь / ФРЕШь скотина, что мясо скотины *свежее / акваФРЕШ|
strange [стреиндж]|странный|*СТРАНный % *неизвестный *необыкновенный *чуЖой вылез из живота|
crazy [креизи]|безумный,сумасшедший|*безумные *чоКнутые мРАЗИ гоняли на кразе(самосвал)|
mad [мЭд]|бешеный,безумный|МАДрид от *сумашедших избавился(rid рид) / *сумасшедшая МАДам брошкина с рожками|(mud мад грязный)(moody муди унылый угрюмый)
wild [Ваилд]|дикий|WILDberies магазин - *дикие ягоды(berry бери) / на ВАЛДае в сочи встечаются самые *буйные *бешеные *необузданные *дикие *безумцы|(weld Велд приварили к куВАЛДе ручку)(wield Вилд орудует ВИЛкой Дармоед)
sweet [сВит]|сладкий|СВИТа короля была *душистая *свежая *любимая *милая *приятная *ласковая / СВЕТка - *сладкая *конфетка|(сВет-пот в свитере)
#
black [блЭк]|чёрный|БЛЭКаут - *черный + снаружи(out аут) = электричество пропало в городе на неделю / БЛЕКнет свет и наступает *черная тьма|
white [Ваит]|белый|*белая ВАТА|
red [ред]|красный|РЕДиска *красная, нехороший человек / фРЕДи крюгер носил *красный галстук когда был пионером, потом вступил в партию и довёл страну до ручки|
green [грин]|зелёный|ГРИНпис - *зеленый мир(peace пис) защищает природу|(grin грин усмешка *зеленого ГРИНча который украл рождество)
blue [блу][блю]|синий|БЛЮтус - *голубой + зуб(tooth туС) = беспроводная связь / БЛЮвота *синяя + вода(water Вотэ), бее|
yellow [йелоу]|жёлтый|вулкан ЙЕЛОУстоун - *желтый камнь, скоро взорвётся и всем капец / ты ел ЕЛОвУю *жёлтую шишку с голодухи, а белки вокруг косо сморели на тебя|
gray [греи]|серый|(=grey) ГРАнит|
pink [пиНк]|розовый|ПИНК флойд *розовый фламинго / потри *розовую сПИНКу у свиногрыза и дай ему ПИНКа за свинство|
#
number [нэмбэР][нАмбэ]|число|а=о *НОМЕР %%|
zero [зироу][зиэроу]|ноль|ЗОРРО всех убил под *ноль|
one [ВАн]|один|жан клод ВАН дамм может *один справиться с целой толпой дам / ВАНя у нас *один ездит в фургоне(van вэн) миниВЭН / *ОНО *некто (=man, body)|(no-one ноуВэн никто)(one-day Вэндей *как-то *однажды)(once Ванс однажды)
two [ту:]|два|т=д ТВО=*ДВА % / *две ТУфли|(to-предлог-частица)(too туу ТОже, слишком)
three [Сфри]|три|с=т % (звучит ужасно, всем стыдно)|(tree три дерево)
four [фоР][фо:]|четыре|ФАРы *для(for фор) машины (у кого *четыре глаза тот похож на водолаза) / фоРУМ - *четыре + комнаты(room рум)|(far-далеко)
five [фаив]|пять|фифти-фифти это 50 на 50, а 5 это ФАЙВ|
six [сикс]|шесть|(sex пол) когда пол-*шестого не до секса|
seven [севэн]|семь|в=м % / *СЕдьмое небо-хЕВЕН|(seventy севэнти семьдесят)
eight [еит]|восемь|h+8=высота, w+8=вес|
nine [наин]|девять|НИНЕ 9 лет в обед|(none нан никто ничто)
ten [тен]|десять|негритят загорали(tan) в ТЕНи вместе с таней, они её съели|
eleven [и'левэн]|одиннадцать|книг написал пелевин левой рукой, а кто это?|
twelve [тВелв]|двенадцать|т=д *ДВЕнадцать %%|
thirteen [Сёр'тин][Сэ:'ти:н]|13|3+10(teen=ten тинейджеры 13-19)|
fourteen [фоР'тин][фо:'ти:н]|14|4+10|
fifteen [фиф'ти:н]|15|5+10|
sixteen [сикс'ти:н]|16|6+10|
seventeen [севн'ти:н]|17|7+10|
eighteen [еи'ти:н]|18|8+10|
nineteen [наин'ти:н]|19|9+10|
twenty [тВенти]|двадцать|т=д *ДВАдцать %|
thirty [СёРти]|тридцать|старая дева за *30 уже второго СОРТА и жаждет(СэРст) замуж|
hundred [хэндрид][хАндрэд]|сто|-летний дед ХАНДРИТ, столько не живут|
thousand [Сфаузэнд]|тысяча|рабов на ФАЗЕНДе любят рабыню изауру / *тысяча САУдовцев в САНДалях бегут по песку в пустыне / ты вошел в САУну к САНДи за *штуку в час|
first [фёРст]|первый|ФЕСТиваль у валь|(feast фист праздник пир)(fist фист кулак)
second [секэнд]|второй|СЕКОНДхенд - *вторые руки(hand хенд) = обноски / *СЕКУНДа %|
third [СёРд]|третий|СЕРДитый пришёл - ему второй бомбу под колеса кинул / мы соображали на троих а *третьим был СЕРДитый ты с САРДиной на закуску|
#
just [джАст]|только,просто,точно,справедливый|ЮСТас алексу *только-что передал шифровку из центра / ДЖАСТин *только-что родился и *точно за *справедливость / *беспристрастный *объективный *верный *правильный *как-раз|(justice джастис (j-й) ЮСТИЦия обеспечивает *справедливость и *правосудие)(justify джастифаи оправдывать)
now [нау]|сейчас|k+now=знать / *сейчас я НАУчу тебя плохому|(know ноу знать наука)
then [Зен]|тогда,затем|н=м *ЗаТЕМ / когда будет солнце в ЗЕНите, *тогда стрельнем из ЗЕНитки|(than Зэн чем)
forward [фоРВерд][фо:Вэд]|вперёд|в футболе ФОРВАРД бежит *впереди-других, ему больше всех надо!|
well [Вел]|хорошо|*ВЕЛиколепно и *хорошо себя ВЕЛ, возьми с полки пирожок|
only [оунли]|только|ОН ЛИ это сделал? / *только клОУН ЛИлипут *единственный в цирке уродов|
also [о:лсоу]|также|АЛСУ *тоже пела под фанеру по блату|
even [ивин][ивэн]|даже|е=и ИВАН сусанин *даже дороги не знал, завёл нас хз куда|
very [вери]|очень|ты вруну *очень ВЕРИл, а зря / *очень не хватает *истинной *настоящей ВЕРЫ в светлое будущее|(vary вери менять варианты)
down [даун]|вниз|нокДАУН - удар-толчок(knock нок) + *вниз упал / локДАУН - замок(lock лок) + *вниз = никого из дома не выпускают / ДАУНы без мозгов *внизу на соц.леснице / при локДАУНе заперли всех ДАУНов *внизу в подвале без еды, сказали самоизоляция или штраф, через год нашли их скелеты|(downer зануда)(drown драун тонуть *вниз)(dawn дон рассвет)
still [стил]|всё-ещё|СТИЛь маньяка тот же - бритвой по горло и в колодец / *бесшумный *тихий *спокойный вор украл(steal стил) *неподвижный СТАЛьной(steel стил) наСТИЛ у тебя / *пока этот СТИЛь в моде - мы ещё живы|
never [невэР]|никогда|никому НЕВЕРь / в НЕВАде *никогда не был вадя|(ever эвэР всегда)
again [э'геин][э'ген]|снова|АГЕНт 007 против агенства ми6|
today [ту'деи]|сегодня|ТУДА без намордников не пускают / = к(to) + день(day)|
tonight [ту'наит]|сегодня-вечером|=к ночи|
tomorrow [тэморэу][ту'ма,роу]|завтра|мы с ТАМАРОЙ ходим парой|
yesterday [йестер,деи][йестеРди]|вчера|=да+тер+день / *вчера ЯСТРЕб злоДЕЯ клюнул|
always [ол,Веиз][о:лВэз]|всегда|= all(все) + ways(пути)|
enough [и'нАф]|достаточно|И НАФига мне столько? *достаточно!|
often [офэн][офтэн]|часто|О ФЕН *часто сгорает вместе с волосами / *часто в кОФТЕ сплю, холодно / *часто кОФТАН одеваю на сироту(orphan орфэн) теленка(calf каф) и гуляю с ним по лесу с волками|
together [тэ'геЗэР]|вместе|ТУристы едут на ГЕЙЗЕР попить ГАЗИРовки / ТУземцы *вместе бегут на ГЕЙЗЕР, на русалок пялиться(гейз)|(gаther гэЗэ собирать)
already [о:л'реди]|уже|всё(all) готово(ready реди готовый) / ОЛя все РЯДЫ в классе *уже подмела и поставила жучки|
maybe [меиби]|может-быть|=можно + быть|
soon [су:н]|скоро|если СУНешь палец, то *скоро откусят руку / СУНдук невесты полон женихов - *скоро свадьба|
forever [фер'евэР]|навсегда|=для + всегда|
#
all [ол]|все|вы - АЛкогОЛики!|
any [ени]|любой|у АНИ купит *анин(onion аньэн) лук / про ЕНИсей *любой скажет(say сей) что это речка|
anybody [ени,боди]|любой,кто-нибудь|=любой + тело|
anyone [ениВАн]|любой|=любой + чел|
anything [ениСиН]|что-угодно,что-либо|=любой + вещь|
each [и:ч]|каждый|знает что вИЧ это пугалки|(which Вич-который)(each-other ичазе друг-друга = каждый-другой)
every [еври]|каждый|ЕВРЕй кричит ЭВРИка когда делает открытие века|
everybody [еврибоди]|каждый-чел,все|=каждый + тело|
everything [евриСиН]|всё|=каждый + вещь|
here [хиР][хиэ]|здесь,сюда|where-где|(hear хир,хиэ слышать)(hire хаир,хаиэ нанял японца делать ХАракИРи)(hare хер заяц)(hair хер волосы зайца на шапку)
it [ит]|это|и=э % ЭТо|
itself [ит'селф]|сам-по-себе,сам,себя|(=oneself) делал СЕЛФи|
he [хи]|он|постоянно ХИхикает, смешно дураку что уши на боку (his-его him-ему)|
she [ши]|она|ШИзанутая, он хихикает - два сапога пара (her-её)|
some [сАм]|некоторый,некоторое-количество|САМцов бегали за той-же-самой(same) самкой, хотели её трахнуть (по башке дубиной)|
somebody [сАмбэди]|кто-нибудь|= некоторый + тело|
someone [сАмВАн]|кто-то|= некоторый + один-чел|
something [сАмСиН]|что-нибудь,что-то| = некоторый + вещь|
sometimes [сАмтаимз]|иногда|= некоторый + время|
no [ноу]|нет|о=е % / (not-не)(none нан никто ничто никакой)|
nobody [ноубэди]|никто|= нет + тело|(no-one ноуВэн *никто)
nothing [нАСиН]|ничто,ничего|= нет + вещь|
such [сАч]|такой|ты *такой САЧок когда пилишь СУЧок на котором сидишь|
there [Зер]|там|(here-здесь, where-где)|
they [Зеи]|они|ЗАЙки на лужайке/*они завели друЗЕЙ (в лаЗЕЙку)|
this [Зис]|этот|(the Зэ,Зи этот)(that-тот)|
these [Зиз]|эти|(those-те)|
I [аи]|я|ай=йа / купил АЙфон за лимон, а там впн не поставить и ютюб не работает, ах|
you [ю]|ты|смотришь в Ютюб, а видишь фигу от роскомпозора|
we [Ви]|мы|w-перевернутая м %|
how [хау]|как|НОУхау - знать(know ноу) *как сделать / *каким-образом? (хаумэни-сколько?)|
when [Вен]|когда|ВЕНу взяли штурмом, там нашли ВЕНома(venom венэм яд злоба) / *когда будем колоть в ВЕНу?|
where [ВеР][Веэ]|где|ВЕРа надежда любовь опять ходят? в караганде / У мЭРа *куда-то пропал весь город, ах|
what [Вот]|что|ВОТ *что это такое?|
who [ху:]|кто|тут уХУ ел? / *кто есть ХУ? / who вхо(w убрали т добавили) *хто? дед пыхто и конь в пальто! / это ещё и ВОЗ / звучит не по правилам (w-немая о=у)|
why [Ваи]|почему|трамВАЙ не летает? покачену!|(way вей путь)
which [Вич]|который|тут ВИЧ больной? выходи, будем делать тебе харакири|(ич-каждый)(witch Вич ведьма колдунья лечит от ВИЧ отравой)
other [эЗэР][АЗэ]|другой|это *другое ОЗЕРо с лох-несским чудовищем и лохами|
another [э'нэЗэР][э'нАЗэ]|любой,другой|это зАНОЗА в заднице|
many [мени]|много|у бабы МАНИ денег(money мани) за баней, куры не клюют / *много МАНИ(денег) у МАНьки облигации - кроликов разводит(на деньги)|
much [мАч]|много|у МАЧо баб и денег(мани)(а мэни-много) / МАЧеха *много МУЧила золушку|
few [фью:]|немного,мало|ВЬЮ венков из одуванчиков|
away [э'Веи]|прочь|уходи с моего пути(way)|
along [э'лоН]|вдоль|(long лонг длинный)|
behind [би'хаинд]|позади,за|БИзоном проХИНДей прячется, лови его|
else [елс]|ещё|безобразная ЭЛЬЗа *ещё хочет безобразий / обжора *ещё не наЕЛСЯ|
upon [э'пон]|на|=вверх + на / *после *во-время *по|
about [э'баут]|о|АББАТ ходил *вокруг да *около|
above [э'бАв]|над,выше,ранее|просил дОБАВки и надбавки|
after [ЭфтэР]|за,после|текста АФТОР поставил подпись|
among [э'мАН]|среди|недовольных на митинге ОМОН проводит задержание, беги оттуда|
around [э'раунд]|вокруг|Этого РАУНДа - зрители|
at [Эт]|у,на,в|(время на часах)|
before [би'фоР]|до|БИФОкальные линзы видят *перед|
between [бит'Вин]|между|глаз БИТь ВИНовника|
through [Сфру:]|через|заколдованый лес СРУбил просеку и всякая нечисть попёрла / ЗРЮ *насквозь ФРУкта и вижу там червяка (gh-немые)|(throat Сфроут горло)(throw Сфроу бросать)
by [баи]|у,при,через,к|(buy-покупать)(bye-пока)|
for [фоР][фо:]|для|ФОРточка *для воздуха|(four фор четыре)(far фар далеко)
from [фром]|из,от|*|
in [ин]|в|инКУБатор - *в + детёныш(cub куб) / ИНсайдер - *в + сторона(side)|
into [инту]|в|=в+к / *внутри есть ИНТУиция|
near [ниР][ниэ]|рядом,около|НИАгарского водопада ты стоял и упал, ааа / НЕАРдертальцы были *близкими родственниками гомосапиенс|
under [эндэР][Андэ]|под|АНДЕграундом нашли ад / АНДЕРсон *под кайфом писал сказки|
with [ВиС][ВиЗ]|с|нанес ВИЗит в поликлинику больной *с ковидом, все разбежались и попрятались кто куда..|(within в-пределах)
without [Ви'Саут][Ви'Заут]|без|WITH-С чем-то внутри и *без чего-то снаружи OUT-из,вне|
and [Энд]|и|*|
because [би'коз]|потому-что|=быть(би) + причина(коз) / любовь зла *так-что полюБИшь и КОЗла|
against [э'геинст][э'генст]|против|А ГАНСТеры *против АГЕНСТва знакомств воров и жуликов|
but [бэт][бАт]|но|(бэт-летучая мышь)|
if [иф]|если|(else-иначе)|
not [нот]|не,нет|о=е %|
or [оР][о:]|или|ОРи или затнись|
so [соу]|так|(соу-соу так-себе)|
than [ЗЭн]|чем|коту ЗАНяться когда делать нечего?|(then Зен *ЗаТЕМ)
too [ту:]|слишком,очень|хочет тузик грелку / ТОже %|(to ту к)(two ту два)
while [Ваил]|пока|ВАЛИл лес - волки пришли посмотреть / *в-то-время-как|
until [энтил]|до-тех-пор,пока|не поймаю золотую АНТИЛопу, не успокоюсь (мульт)|
of [эв]|из|(of оф предлог чего)|
off [оф]|из,вне,выкл|ОФшоры чтобы уходить *прочь *от налогов / *выкл (on вкл)|
on [он]|на|он *на ней, она на нём, та-ту, а тот-того (*прости-forgive мертвецоФ за ОРГИю В морге) / (off-выкл on-вкл)|
over [оувэР]|над|ОВЕРлок - *через + замок(lock лок) = швейная машинка для обмётки швов / я постелил кОВЕР *над ямой с крокодилами, а ты туда провалился, ах|(cover кавэр крышка покрывать)
to [ту:]|в,к|частица-глагола (=должен have to глагол)|(two ту два)(too туу ТОже, слишком)(today тудей сегодня)
please [плиз]|пожалуйста|*ПожаЛуЙСта % *получать-удовольствие|(pleasant плезэнт приятно)
sorry [сори]|извини,мне-жаль|после ССОРЫ все *огорченные *жалкие *несчастные *грустные / наСОРИл когда жену пилил в избе и *извинился, надо выносить|(excuse икскьюз извините)
hello [хэ'лоу]|привет|АЛЛО! это кто? конь в пальто|
bye [баи]|пока|(buy бай покупать)(by предлог при) / баю баюшки баю, засыпай и покеда|
hi [хаи]|привет|(high хай высокий) хай гитлер это *привет гитлер и руку *высоко поднимай|
goodbye [гуд'баи]|до-свидания|=хороший + пока|
yes [йес]|да|(=yeah)(yesterday йестэрдей вчера)|
